C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,time
-5.127684405359297,-3.6196643087938294,-5.012437876101198,-5.027635088590041,-4.678172813518348,-3.67748614876086,-4.637585937123039,-4.804878048151171,-3.625361030780864,-5.060835854924613,-3.3674295696051475,-4.3658708179458,-3.4053110077238435,-4.91521765949113,-5.365286097622089,-4.858037788044129,-4.465991475957582,-3.634535395720491,-5.118873516459559,20
-5.106045047490263,-3.5085062788039676,-5.172641037134557,-4.732907915139933,-4.840390943020142,-3.779271615603909,-4.745099792112952,-5.003866852817262,-3.7410346584155505,-5.270749448537425,-3.4391229010144104,-4.249057937192473,-3.4206706369358217,-5.084045126070182,-5.064628859389288,-5.019410337441639,-4.394090712818954,-3.702402152243374,-4.886955593352017,21
-5.0872912813191,-3.4076090820044036,-5.3139499621307795,-4.469119604143938,-4.983942434562132,-3.8705406280834587,-4.839520145302265,-5.182001124665949,-3.844516289522447,-5.462539730299844,-3.5030453898707634,-4.144902176093334,-3.4343388140030777,-5.237534095854816,-4.7957463041822095,-5.1639358438631335,-4.330183234342693,-3.7632180702967277,-4.680497539317364,22
-5.0714231068458036,-3.3169727183951383,-5.436364651089861,-4.236270155602057,-5.108827288144316,-3.9512931861995098,-4.920846996690978,-5.339280863697235,-3.9358059241015537,-5.636206700211869,-3.559197036174207,-4.053403534648384,-3.4463155389256124,-5.37568456884503,-4.558638432000859,-5.291614307308614,-4.274269040528799,-3.8169831498805515,-4.499499354355599,23
-5.0584405240703765,-3.23659718797617,-5.539885104011806,-4.034359569514286,-5.215045503766696,-4.0215292899520625,-4.98908034627909,-5.4757060699111175,-4.01490356215287,-5.791750358273501,-3.607577839924741,-3.9745620128576222,-3.4566008117034244,-5.498496545040827,-4.353305242845229,-5.402445727778082,-4.2263481313772715,-3.863697390994846,-4.343961038466723,24
-5.048343532992819,-3.1664824907475,-5.6245113208966115,-3.863387845880626,-5.30259708142927,-4.0812489393411155,-5.044220194066603,-5.591276743307599,-4.081809203676397,-5.929170704484739,-3.648187801122365,-3.908377610721048,-3.4651946323365146,-5.605970024442205,-4.179746736715325,-5.496430105271536,-4.186420506888109,-3.90336079363961,-4.213882591650735,25
-5.04113213361313,-3.106628626709127,-5.69024330174428,-3.7233549847010776,-5.371482021132041,-4.130452134366671,-5.086266540053517,-5.685992883886678,-4.136522848672135,-6.048467738845584,-3.6810269197670795,-3.8548503282386615,-3.4720970008248826,-5.698105007049164,-4.037962913611145,-5.573567439788975,-4.154486167061315,-3.935973357814845,-4.109264013907637,26
-5.03680632593131,-3.057035595861052,-5.737081046554809,-3.614260985975639,-5.421700322875007,-4.169138875028727,-5.115219384239831,-5.759854491648354,-4.179044497140084,-6.149641461356036,-3.7060951958588846,-3.8139801654104635,-3.4773079171685293,-5.774901492861704,-3.92795377353269,-5.6338577313304015,-4.130545111896886,-3.96153508352055,-4.030105305237428,27
-5.035366109947358,-3.017703398203274,-5.765024555328199,-3.5361058497043105,-5.4532519866581675,-4.1973091613272855,-5.131078726625543,-5.812861566592627,-4.209374149080243,-6.232691872016093,-3.7233926293977793,-3.785767122236453,-3.4808273813674533,-5.836359481879825,-3.8497193164799595,-5.677300979895812,-4.114597341394824,-3.980045970756725,-3.976406465640109,28
-5.0368114856612785,-2.9886320337357932,-5.774073828064452,-3.4888895758870913,-5.466137012481525,-4.214962993262344,-5.133844567210657,-5.8450141087195,-4.227511804492612,-6.297618970825758,-3.7329192203837653,-3.7702111987166296,-3.4826553934216564,-5.882478974103528,-3.8032595424529543,-5.703897185485212,-4.106642855555129,-3.9915060195233703,-3.948167495115678,29
-5.041142453073067,-2.9698215024586094,-5.764228864763565,-3.4726121645239796,-5.460355400345078,-4.222100370833906,-5.123516905995171,-5.856312118028971,-4.233457463377192,-6.344422757785031,-3.734674968816841,-3.7673123948509937,-3.4827919533311373,-5.913259969532813,-3.788574451451673,-5.713646348098596,-4.1066816543778,-3.995915229820486,-3.9453883936641363,30
-5.056318729181926,-2.968124496748611,-5.7245547649937905,-3.51754597258748,-5.422693755880465,-4.207196066940257,-5.088715905220427,-5.83312276203312,-4.214668487997783,-6.369108656044769,-3.719258798724774,-3.7909684386105114,-3.479708711337046,-5.917728385298486,-3.8360929271519217,-5.694753586742962,-4.124150083129593,-3.985469166866583,-3.9934119243632478,31
-5.08676237898741,-2.987348067926291,-5.64897658407082,-3.6405089761734253,-5.3458113044385955,-4.1638471776360015,-5.02311943279828,-5.767872244905323,-4.164176746278721,-6.369457456244337,-3.6814478901229872,-3.8489002899790528,-3.4725565842400195,-5.889787508695438,-3.9627199049291466,-5.6406661897555335,-4.164290555847597,-3.9558320335608337,-4.106317400033992,32
-5.1271669244900515,-3.022923754407058,-5.5447842556158244,-3.8213196039668156,-5.2385169755983805,-4.099737187655614,-4.934314047234506,-5.669649121637531,-4.0903439967108035,-6.348132209616499,-3.6275096269929734,-3.931842796975974,-3.4623544718792933,-5.836753394969801,-4.148169462332811,-5.559247411131643,-4.220812175687305,-3.9122067864242323,-4.267209645291193,33
-5.172225887690385,-3.0702830946063195,-5.419267713249967,-4.039796284652651,-5.109619698938723,-4.0225495817335695,-4.829886307034872,-5.547541947221687,-4.001531997784828,-6.307795967394013,-3.563711393316219,-4.030530807620632,-3.4501212740941,-5.765942099367701,-4.3721556769123815,-5.458360504866625,-4.287424045804215,-3.859796381977769,-4.459193484749676,34
-5.2166327905889425,-3.124857626939484,-5.279716890594416,-4.275757446915925,-4.967928404038535,-3.939967844604343,-4.717422770705155,-5.4106392766497375,-3.906102507991598,-6.251111780809641,-3.496320573074215,-4.135699169932381,-3.436875890723674,-5.684669677135268,-4.614392626217316,-5.345868724955818,-4.357835269353821,-3.803803776742438,-4.665373743024263,35
-5.255081155186258,-3.18207888982196,-5.133421721270336,-4.5090215194416405,-4.82225202047672,-3.8596754610024098,-4.604509996751125,-5.268029664913631,-3.81241728582191,-6.180742701096144,-3.43160455024845,-4.238082731930579,-3.42363722160725,-5.6002521835186325,-4.854594387797081,-5.229635325394557,-4.425754949491621,-3.749431927239232,-4.8688552447297795,36
-5.282264503482865,-3.237378421669156,-4.987672138898896,-4.719406930914794,-4.681399477832186,-3.7893559156622443,-4.4987345436785535,-5.1288016670053125,-3.728838089766564,-6.099351779486283,-3.3758307088204136,-4.328416341634582,-3.4114241665840606,-5.520005673763923,-5.072475039201142,-5.117523560178176,-4.4848921893731095,-3.7018837899891435,-5.052742814481049,37
-5.292876357479295,-3.286187760896478,-4.849758077101262,-4.886732110020386,-4.554179705683843,-3.7366926933183198,-4.407682969993213,-5.002043837916728,-3.66372667831636,-6.0096020672128185,-3.335266432771595,-4.397434847063743,-3.40125562549334,-5.451246203117268,-5.247748657978956,-5.017396683302013,-4.528956092153783,-3.6663623215131644,-5.200141276892895,38
-5.281610239176081,-3.3239384459193357,-4.7269694694985995,-4.990815485443414,-4.449401633610597,-3.7093692787051133,-4.338941834200877,-4.896844732639825,-3.6254448099620964,-5.914156615508511,-3.3161791060834838,-4.435873096237422,-3.3941504981743233,-5.401289826824796,-5.360129321679993,-4.937117948761402,-4.551655760989138,-3.6480704783322877,-5.294155456580142,39
-5.243159670573759,-3.3460620151531377,-4.626596249712076,-5.011475485868877,-4.375874191191356,-3.7150691565570986,-4.3000976948073175,-4.82229290616655,-3.6223542431945743,-5.815678475606122,-3.3248361127375685,-4.4344659371749735,-3.3911276844662432,-5.377452600132639,-5.389331107853712,-4.884550610551679,-4.5467002990346685,-3.6522112169675056,-5.317890178157613,40
-5.1694859432317255,-3.353776587498088,-4.542253691445603,-4.939741096092543,-4.330992969207601,-3.7584190342174093,-4.292177962593213,-4.774690537129168,-3.6589510832302463,-5.701229444569602,-3.3660145016668173,-4.387514987026594,-3.3924326943530136,-5.379579088161604,-5.327188092646972,-4.857490064507953,-4.50963009636416,-3.682186302094516,-5.263835041798152,41
-5.061626122237984,-3.352496559542026,-4.462834793371992,-4.791557455697989,-4.304175887419063,-3.834021246411295,-4.307885879171475,-4.742558112183585,-3.72906171305076,-5.5608599491190205,-3.4358686796309645,-4.3014627833001,-3.3971452853998247,-5.399995917945788,-5.190200904608582,-4.846557044913823,-4.444491484931419,-3.7344899443632307,-5.145338525774998,42
-4.92788738988597,-3.3439478862318097,-4.38854607656577,-4.584117225551925,-4.292265368872033,-3.9345227189464023,-4.3423217492962225,-4.723311648357212,-3.8250433077947004,-5.401715984971323,-3.5277320673516472,-4.185255554551271,-3.4045357288178275,-5.4347422376012435,-4.995083449890933,-4.848852813437365,-4.357752480711983,-3.8039637692559687,-4.976793771853578,43
-4.776576928469126,-3.3298565225142993,-4.319594062101456,-4.334613066521065,-4.292103836612794,-4.052570377630378,-4.390585877721571,-4.714367162677455,-3.9392530426006545,-5.230943547843458,-3.6349380855505062,-4.047839529335891,-3.413874295818172,-5.479857195244027,-4.7585496346464256,-4.861478631746656,-4.25588109968139,-3.8854494022550465,-4.772593921799322,44
-4.616001920280885,-3.3119484233363523,-4.256185271053574,-4.060237639472114,-4.300533713687633,-4.180811148270867,-4.447778569201637,-4.713140672171723,-4.064048092607206,-5.055688633452363,-3.750820154949177,-3.8981609362097402,-3.4244312576120066,-5.531379938990191,-4.497313365027449,-4.881535761509766,-4.145345357815173,-3.97378846884278,-4.54713211737765,45
-4.454469547614688,-3.2919495436448285,-4.198526224496646,-3.7781836052717854,-4.314397423142837,-4.31189195667552,-4.509000128490542,-4.717048193867424,-4.191785632952945,-4.883097237514986,-3.8687116962693016,-3.745166003728602,-3.435476885410483,-5.58534961695579,-4.228088547186398,-4.906125464394773,-4.032613271088868,-4.063822594501489,-4.314801500353992,46
-4.300286992763969,-3.2715858383865855,-4.146823443505195,-3.5056436247867846,-4.33053738802469,-4.438459728651982,-4.5693508603424,-4.723505744791965,-4.314822838776454,-4.720315355748265,-3.981946130232518,-3.597800960448255,-3.4462814504247508,-5.637805377256883,-3.9675890872756643,-4.932349002069751,-3.9241528554780127,-4.15039340471349,-4.089995212493768,47
-4.161761438022166,-3.252583262508483,-4.101283449153742,-3.2598103588838248,-4.34579603137948,-4.553161390007901,-4.623931069511329,-4.729929341972756,-4.4255168852163225,-4.574488983869149,-4.083856877560463,-3.4650120349244826,-3.4561152238659587,-5.68478636800952,-3.732528891447643,-4.957307636202775,-3.8264321269581423,-4.228342524961099,-3.88710639556241,48
-4.04720006568272,-3.2366677709573803,-4.062112762516811,-3.057876468429617,-4.357015776253491,-4.648643866550921,-4.667841060751448,-4.733735002437204,-4.516224947411132,-4.452764117594584,-4.167777358974777,-3.355745455713069,-3.4642484769452575,-5.722331737329756,-3.5396218658547314,-4.978102628461919,-3.745919101504793,-4.292511580726634,-3.7205281913253425,49
-3.9649100580390657,-3.225565318680135,-4.029517904668925,-2.9170346142908707,-4.361039045693012,-4.717554084088691,-4.696181138816872,-4.7323387432127175,-4.5793042004994735,-4.36228675264151,-4.227040995197099,-3.278947451369794,-3.4699514808737977,-5.746480633333647,-3.4055819166493198,-4.991835240515259,-3.6890817950934998,-4.337742197492412,-3.60465374154799,50
-3.9151142069621296,-3.215401700919055,-4.006853738608343,-2.8324352270871116,-4.3604535908340765,-4.764675961286677,-4.709672391940825,-4.73174171224458,-4.61848297627388,-4.30682410297974,-4.264178053675042,-3.2324681989337365,-3.473558232877673,-5.768409022553031,-3.325151306555688,-5.0065388877082935,-3.654216862326341,-4.363926609758197,-3.5349385034138248,51
-3.8893214300018233,-3.2022347024934925,-3.9957699071086656,-2.7835546755229714,-4.359971575445003,-4.800292641010354,-4.713796590137491,-4.737957566659151,-4.6437584626235235,-4.28105840303419,-4.287507728168178,-3.205835781961353,-3.476011042752409,-5.7984333253852425,-3.278076130707064,-5.029682677577184,-3.633670428081691,-4.37635437322738,-3.4939315098235926,52
-3.8827680979700663,-3.1876882627158785,-3.9939151009074325,-2.764074527592816,-4.359622041520495,-4.825299885367387,-4.710795060832434,-4.7484210872554655,-4.656891118831943,-4.278508179204461,-4.2990468288660715,-3.1955132887844884,-3.477492650563305,-5.831303370744581,-3.2585760438692652,-5.057521410076001,-3.6249847137495355,-4.377963095187719,-3.4766662661186327,53
-3.890690581678775,-3.1733863208986435,-3.99893801074218,-2.7676763512910103,-4.359434031055259,-4.840593456465439,-4.702909131451224,-4.760567054832549,-4.659641404182679,-4.292691957890154,-4.300812165958293,-3.19796380773499,-3.4781857963756604,-5.861768987545347,-3.2608707008081113,-5.086309885158816,-3.6257019407198587,-4.371690382926977,-3.4781762776402827,54
-3.9083252519398664,-3.160952816354214,-4.008487327350442,-2.7880417146119187,-4.359436586044002,-4.847069116412173,-4.692380129419421,-4.7718302501894305,-4.653769777959269,-4.317128265490871,-4.294820549634411,-3.2096504271447035,-3.478273220254771,-5.88458000470184,-3.279179756289415,-5.112302902779698,-3.6333643303826433,-4.36047384373291,-3.4934950497298787,55
-3.9309084795652582,-3.1520116883950218,-4.0202117414697565,-2.8188521855499076,-4.359658748481429,-4.845622627315254,-4.681449382162594,-4.779645454125143,-4.641036699445255,-4.345335628406213,-4.283088790083992,-3.227036235345476,-3.477937662265938,-5.8944862511283604,-3.3077228650789965,-5.131755262892719,-3.6455141041278756,-4.347251084893278,-3.51765608772876,56
-3.9536766353668678,-3.1481868763334955,-4.031759943837661,-2.8537893320993413,-4.360129560362245,-4.837149751282346,-4.672358217106305,-4.781447447438713,-4.623202627924176,-4.370832573035781,-4.267633697496605,-3.2465843206691516,-3.4773618624744573,-5.886237555739208,-3.340719681942671,-5.1409217654519495,-3.6596934833455377,-4.334959713695841,-3.5456928969782635,57
-3.9718660901566127,-3.151102319482065,-4.040780625191689,-2.886534722254586,-4.360878063681158,-4.822546250421111,-4.667347961676122,-4.774671010929171,-4.60202802267957,-4.387137625779174,-4.250472082061819,-3.264757771447578,-3.4767285609456287,-5.85458374744868,-3.372389861646257,-5.136057210411458,-3.6734446894256143,-4.326537337428357,-3.5726389828197265,58
-3.9807132147464097,-3.1623819571531593,-4.044922476269381,-2.910769924010006,-4.361933300432871,-4.802707886839216,-4.668659943297608,-4.756750925395545,-4.579273342994978,-4.387769313035996,-4.233620753969203,-3.278019676012601,-3.4762204977447517,-5.794274655171081,-3.39695305895557,-5.1134163977253175,-3.6843099437580915,-4.324921563378588,-3.593527850594488,59
-3.975454379948178,-3.1836497286592094,-4.041834187808269,-2.920176505359967,-4.363324312612091,-4.778530422644323,-4.67853548939633,-4.725121971636868,-4.55669904815394,-4.366246161205846,-4.219096523408322,-3.2828331226960668,-3.476020412937123,-5.700060107820708,-3.4086289286364284,-5.069254127347598,-3.6898314677329513,-4.333049998834291,-3.603393005643885,60
-3.9581039550200274,-3.2153994900042115,-4.035507680592549,-2.9196078214296812,-4.3690036776833505,-4.744694688122292,-4.7039722550194885,-4.676279108754036,-4.530938910960493,-4.322380417464378,-4.20386376569693,-3.281446117804064,-3.475405757799063,-5.556400524527122,-3.4119017297146175,-4.9962923350147355,-3.692326298959717,-4.353743590196888,-3.606345634761933,61
-3.934721093892994,-3.2562215204219402,-4.0305990831819205,-2.918312628627889,-4.381137154391693,-4.697316650505467,-4.7465334867519795,-4.610935319122631,-4.498297143715431,-4.262789302865146,-4.184144515814963,-3.2787754621254686,-3.473785608157106,-5.3601074266734035,-3.4152571492991703,-4.894371562850156,-3.695630488002214,-4.385523122353936,-3.6098201695172527,62
