C1,C2,C3,C4,time
-5.118348566521845,-3.8752852732686507,-4.610479379975729,-4.332717443511779,20
-5.190098732131084,-3.7669943028116752,-4.507599606748653,-4.417372772012377,21
-5.25334344486014,-3.6683758785616596,-4.415678149287163,-4.493071592760893,22
-5.308082704709015,-3.579430000518604,-4.334715007591262,-4.559813905757327,23
-5.354316511677706,-3.500156668682507,-4.264710181660951,-4.617599711001682,24
-5.392044865766214,-3.430555883053369,-4.205663671496232,-4.666429008493955,25
-5.42126776697454,-3.3706276436311913,-4.157575477097105,-4.706301798234146,26
-5.441985215302682,-3.320371950415973,-4.120445598463575,-4.737218080222258,27
-5.454197210750641,-3.2797888034077136,-4.094274035595641,-4.759177854458286,28
-5.4579037533184165,-3.248878202606414,-4.0790607884933054,-4.772181120942235,29
-5.453104843006008,-3.227640148012073,-4.074805857156568,-4.776227879674103,30
-5.437717583950941,-3.2224496923976944,-4.093701897478757,-4.7650772381721715,31
-5.4105848117851725,-3.23684853174828,-4.142522607178385,-4.735262033946596,32
-5.373095123750357,-3.266586630881827,-4.213139548993231,-4.690942861985192,33
-5.32663711708814,-3.307413954616334,-4.2974242856610765,-4.6362803172757685,34
-5.272599389040172,-3.355080467769799,-4.387248379919702,-4.575434994806138,35
-5.2123705368481055,-3.40533613516022,-4.474483394506888,-4.512567489564114,36
-5.14733915775359,-3.4539309216055964,-4.551000892160415,-4.451838396537508,37
-5.078893848998274,-3.496614791923924,-4.608672435618063,-4.397408310714132,38
-5.00842320782381,-3.529137710933203,-4.639369587617615,-4.353437827081799,39
-4.937315831471846,-3.54724964345143,-4.63496391089685,-4.324087540628321,40
-4.8585599990652355,-3.5522651373197798,-4.590215795011713,-4.308250574877049,41
-4.766820283347554,-3.5493219407869065,-4.510643835765212,-4.300997307353595,42
-4.6659997219915414,-3.539904819282028,-4.404256905265731,-4.300754214049163,43
-4.560001352669934,-3.525498538234365,-4.279063875621652,-4.3059477709549565,44
-4.452728213055467,-3.507587863073132,-4.143073618941355,-4.315004454062178,45
-4.348083340820882,-3.48765755922755,-4.004295007333223,-4.326350739362032,46
-4.24996977363891,-3.467192392126837,-3.8707369129056333,-4.33841310284572,47
-4.162290549182294,-3.44767712720021,-3.7504082077669705,-4.349618020504447,48
-4.0889487051237685,-3.430596529876889,-3.6513177640256167,-4.358391968329414,49
-4.033847279136072,-3.4174353655860914,-3.5814744537899514,-4.363161422311826,50
-3.9987872188264797,-3.4039668023873135,-3.5396338138607484,-4.366829885459216,51
-3.980721456019898,-3.3863028435721954,-3.516798978792708,-4.372642217673778,52
-3.976281004715512,-3.366436507418176,-3.509350217325103,-4.37953693028871,53
-3.9820968789125066,-3.3463608122026924,-3.513667798197207,-4.3864525346372165,54
-3.994800092610066,-3.3280687762031795,-3.5261319901482917,-4.39232754205249,55
-4.011021659807374,-3.3135534176970776,-3.5431230619176306,-4.396100463867733,56
-4.027392594503615,-3.3048077549618218,-3.561021282244496,-4.3967098114161445,57
-4.040543910697974,-3.30382480627485,-3.576206919868161,-4.393094096030923,58
-4.047106622389635,-3.312597589913599,-3.585060243527898,-4.384191829045267,59
-4.043711743577783,-3.3331191241555067,-3.58396152196298,-4.368941521792378,60
-4.033527018953068,-3.3665312248460455,-3.5748123319448983,-4.346539763495767,61
-4.021806069937067,-3.411401400352395,-3.562422900394865,-4.317641017897035,62
-4.008308725625355,-3.465861207734553,-3.547536471276735,-4.283370608106505,63
-3.992794815113507,-3.528042204052516,-3.5308962885543616,-4.244853857234502,64
-3.9750241674970987,-3.5960759463662826,-3.5132455961915987,-4.203216088391348,65
-3.9547566118717055,-3.6680939917358497,-3.495327638152301,-4.159582624687368,66
-3.9317519773329033,-3.742227897221215,-3.477885658400323,-4.1150787892328875,67
-3.9057700929762666,-3.8166092198823747,-3.461662900899517,-4.070829905138229,68
