C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-6.491457973041082,-4.907107308736944,-3.013916467046524,-5.275762510218746,-4.966443852659383,-5.108766337820257,-4.450008345418496,-4.85434397122782,-4.731063509897226,-4.254027419078626,20
-6.55642172090027,-4.9841560606550175,-2.9490371306619045,-5.258661548493772,-5.088533115636129,-5.1930961125133495,-4.50500166934582,-4.869222112068362,-4.808863513286738,-4.331883086825684,21
-6.607420417908017,-5.045147334630149,-2.893973782673679,-5.247481960353307,-5.187259993037687,-5.274761032791002,-4.548299292528624,-4.877156312670064,-4.871681938099556,-4.396766201429286,22
-6.64445406406432,-5.090081130662345,-2.8487264230818488,-5.2422237457973475,-5.26262448486406,-5.353761098653214,-4.579901214966912,-4.87814657303293,-4.919518784335682,-4.448676762889431,23
-6.667522659369178,-5.118957448751601,-2.8132950518864117,-5.242886904825896,-5.314626591115243,-5.430096310099987,-4.599807436660683,-4.872192893156955,-4.952374051995112,-4.487614771206119,24
-6.676626203822593,-5.131776288897919,-2.7876796690873693,-5.2494714374389515,-5.343266311791236,-5.503766667131321,-4.608017957609938,-4.85929527304214,-4.970247741077849,-4.513580226379352,25
-6.671764697424565,-5.128537651101299,-2.771880274684721,-5.261977343636514,-5.348543646892042,-5.574772169747214,-4.604532777814676,-4.839453712688488,-4.973139851583895,-4.526573128409126,26
-6.652938140175093,-5.109241535361741,-2.7658968686784675,-5.280404623418585,-5.330458596417658,-5.643112817947666,-4.589351897274895,-4.812668212095997,-4.9610503835132445,-4.526593477295445,27
-6.620146532074177,-5.073887941679242,-2.7697294510686077,-5.304753276785163,-5.289011160368084,-5.70878861173268,-4.562475315990598,-4.778938771264666,-4.933979336865901,-4.513641273038307,28
-6.573389873121815,-5.022476870053807,-2.783378021855144,-5.33502330373625,-5.22420133874332,-5.771799551102256,-4.523903033961784,-4.738265390194496,-4.891926711641864,-4.487716515637713,29
-6.5126681633180095,-4.955008320485432,-2.8068425810380733,-5.371214704271843,-5.136029131543366,-5.83214563605639,-4.473635051188454,-4.690648068885488,-4.834892507841134,-4.4488192050936615,30
-6.4285360293667875,-4.859509269074938,-2.841987810027077,-5.425786073809898,-5.0049032357534955,-5.899705737605315,-4.4017563401428506,-4.629938106991032,-4.749392967784683,-4.386738633570065,31
-6.315746041659277,-4.729328035878333,-2.889849642938642,-5.505658854249274,-4.819939594143304,-5.979968117421378,-4.302758552198442,-4.552719559874126,-4.627937114984161,-4.29580218560243,32
-6.180595115726126,-4.57244663682841,-2.9491849588329835,-5.60252731531134,-4.594199075389281,-6.06634686149776,-4.183251705707069,-4.463091561099175,-4.4795141212255905,-4.18281699974815,33
-6.0293801670979805,-4.396847087857949,-3.018750636770315,-5.708085726717459,-4.3407425481679045,-6.1522560558276425,-4.049845819020565,-4.365153244230581,-4.313113158294985,-4.054590214564615,34
-5.868398111305492,-4.210511404899742,-3.0973035558108495,-5.8140283581889936,-4.072630881155664,-6.231109786404204,-3.90915091049077,-4.263003742832753,-4.137723397978364,-3.9179289686092185,35
-5.703945863879304,-4.0214216038865755,-3.1836005950148016,-5.912049479447312,-3.8029249430290424,-6.296322139220629,-3.767776998469519,-4.160742190470094,-3.9623340120617483,-3.779640400439352,36
-5.542320340350067,-3.8375597007512385,-3.2763986334423856,-5.993843360213775,-3.544685602464523,-6.341307200270095,-3.632334101308651,-4.062467720707012,-3.7959341723311533,-3.646531648612408,37
-5.389818456248431,-3.666907711426518,-3.3744545501538137,-6.05110427020975,-3.3109737281385927,-6.359479055545783,-3.5094322373600035,-3.9722794671079087,-3.6475130505725986,-3.5254098516857804,38
-5.252737127105038,-3.5174476518452,-3.4765252242093023,-6.0755264791566015,-3.1148501887277336,-6.344251791040876,-3.405681424975412,-3.894276563237191,-3.5260598185721013,-3.4230821482168574,39
-5.137373268450543,-3.3971615379400744,-3.581367534669063,-6.058804256775693,-2.969375852908432,-6.289039492748554,-3.3276916825067167,-3.8325581426592654,-3.440563648115681,-3.346355676763036,40
-5.0396949810366465,-3.3027792854061753,-3.7069888294242537,-5.99362507337486,-2.871642408637053,-6.177476854715065,-3.2735273836653374,-3.7854425481014644,-3.3901245504408277,-3.2928409061522,41
-4.950932186212142,-3.2242065345882236,-3.864682353092704,-5.884539762377041,-2.8064895224470745,-6.00730187704725,-3.2352583466668263,-3.7477445721973703,-3.3649204277162026,-3.2541510642662512,42
-4.870274530403309,-3.159188888393536,-4.043133829824635,-5.741037638176253,-2.768600030880651,-5.793083604829174,-3.210502756619215,-3.7183080233707555,-3.3605572881245798,-3.2280974282436024,43
-4.796911660036435,-3.105471949729431,-4.231028983770264,-5.572608015166517,-2.7526567704799367,-5.549391083144909,-3.196878798630534,-3.6959767100453953,-3.3726411398487333,-3.2124912752226678,44
-4.730033221537798,-3.060801321503224,-4.417053539079815,-5.388740207741849,-2.7533425777870844,-5.290793357078516,-3.1920046578088144,-3.679594440645063,-3.3967779910714357,-3.2051438823418583,45
-4.668828861333678,-3.022922606622232,-4.589893219903507,-5.198923530296269,-2.7653402893442487,-5.031859471714064,-3.1934985192620875,-3.6680050235935324,-3.4285738499754617,-3.203866526739588,46
-4.612488225850357,-2.989581407993771,-4.738233750391563,-5.012647297223791,-2.7833327416935836,-4.787158472135616,-3.1989785680983847,-3.6600522673145774,-3.4636347247435846,-3.20647048555427,47
