C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-6.227176350688408,-5.494333385038915,-3.1123036368608523,-4.951350047272296,-5.108766337820251,-4.978475371213132,-4.560897235872948,-5.567825035991567,-4.146452094782477,-4.94158007545983,-5.279296345072183,-4.7310635098972265,-4.922371498322804,20
-6.27429994429017,-5.590055756813791,-3.04699838952118,-5.072653155355292,-5.193096112513343,-4.97228973779008,-4.625957336168267,-5.621551392702344,-4.126361007649688,-4.98763730423836,-5.2533495729148205,-4.808863513286738,-4.9895358392680516,21
-6.311781622787434,-5.666872307785561,-2.9917739636085505,-5.170990416054652,-5.274761032790996,-4.970967226057058,-4.6779966540416655,-5.667556068344757,-4.110650738633881,-5.022320646519481,-5.237382241264823,-4.871681938099557,-5.042463737933153,22
-6.339621386180201,-5.724783037954226,-2.946630359122965,-5.24636182937038,-5.3537610986532105,-4.974507836014067,-4.717015189493144,-5.705839062918811,-4.099321287735056,-5.0456301023031935,-5.2313943501221924,-4.919518784335682,-5.081155194318108,23
-6.35781923446847,-5.763787947319785,-2.9115675760644217,-5.298767395302472,-5.430096310099983,-4.9829115676611035,-4.743012942522702,-5.736400376424503,-4.092372654953211,-5.057565671589498,-5.235385899486926,-4.952374051995113,-5.105610208422918,24
-6.36637516765224,-5.7838870358822385,-2.886585614432922,-5.328207113850927,-5.503766667131317,-4.996178420998171,-4.755989913130337,-5.759240008861834,-4.089804840288348,-5.058127354378393,-5.249356889359025,-4.970247741077851,-5.115828780247581,25
-6.3652891857315135,-5.785080303641587,-2.8716844742284655,-5.334680985015746,-5.57477216974721,-5.014308396025269,-4.755946101316052,-5.7743579602308035,-4.091617843740466,-5.04731515066988,-5.27330731973849,-4.973139851583896,-5.111810909792099,26
-6.354561288706289,-5.76736775059783,-2.866864155451052,-5.318189008796929,-5.6431128179476655,-5.0373014927423965,-4.742881507079845,-5.781754230531413,-4.097811665309566,-5.025129060463959,-5.3072371906253215,-4.961050383513246,-5.0935565970564705,27
-6.334191476576565,-5.730749376750968,-2.8721246581006814,-5.278731185194471,-5.708788611732677,-5.065157711149553,-4.716796130421718,-5.7814288197636605,-4.108386304995647,-4.991569083760628,-5.351146502019517,-4.933979336865904,-5.061065842040696,28
-6.304179749342345,-5.675225182100999,-2.887465982177354,-5.216307514208377,-5.771799551102254,-5.09787705124674,-4.677689971341668,-5.773381727927548,-4.1233417627987095,-4.946635220559889,-5.40503525392108,-4.891926711641867,-5.014338644744776,29
-6.2645261070036256,-5.600795166647926,-2.912888127681069,-5.130917995838641,-5.832145636056389,-5.135459513033956,-4.625563029839698,-5.757612955023074,-4.142678038718754,-4.890327470861742,-5.468903446330009,-4.834892507841136,-4.953375005168711,30
-6.210546908593551,-5.493296224020944,-2.950580108335381,-5.00338527931006,-5.899705737605313,-5.187115031701563,-4.549461771202229,-5.731845279578128,-4.170082322238335,-4.813169135628396,-5.561525426681196,-4.749392967784686,-4.866044683021087,31
-6.139640131352754,-5.344859961791828,-3.001758042875597,-4.823055280858628,-5.979968117421376,-5.257960237910872,-4.4433008983661635,-5.694813578552647,-4.207603051958874,-4.709895382061082,-5.693331387994026,-4.627937114984164,-4.745608655917785,32
-6.054928202592477,-5.164928450874449,-3.0649625888193484,-4.602712901001156,-6.066346861497758,-5.341855174868311,-4.31438276780722,-5.648035999594705,-4.252782101558666,-4.586824009518326,-5.851805098645238,-4.479514121225592,-4.600153750719751,33
-5.959533549623954,-4.962943762182673,-3.138734403684266,-4.355143040254441,-6.152256055827641,-5.432659885780304,-4.170009736001115,-5.593030690352378,-4.303161344716007,-4.45027281735865,-6.0244303270115696,-4.3131131582949855,-4.437766794287921,34
-5.856578599758426,-4.748347966630372,-3.22161414498798,-4.093130599135295,-6.231109786404202,-5.524234413853277,-4.017484159423568,-5.531315798473739,-4.356282655109194,-4.306559604940584,-6.198690841469759,-4.137723397978366,-4.266534613483241,35
-5.749185780307132,-4.530583135131414,-3.312142470248123,-3.82946047816052,-6.296322139220625,-5.610438802293657,-3.8641083945502963,-5.464409471606864,-4.409687906416523,-4.162002171622652,-6.3620704103965435,-3.962334012061749,-4.094544035166652,36
-5.640477518581307,-4.319091338599668,-3.408860036982324,-3.5769175778469235,-6.3413072002700925,-5.6851330943078695,-3.7171847978570187,-5.393829857399825,-4.46091897231629,-4.0229183167633815,-6.502052802168664,-3.7959341723311537,-3.9298818861990945,37
-5.533576241892194,-4.123314647949002,-3.5103075027082147,-3.34828679871131,-6.359479055545782,-5.74217733310234,-3.5840157258194534,-5.321095103500699,-4.507517726486789,-3.8956258397212973,-6.606121785162855,-3.6475130505725994,-3.7806349934415113,38
-5.43160437755103,-3.9526951340932874,-3.615025524943428,-3.1563530412704837,-6.3442517910408744,-5.775431561883495,-3.4719035349133174,-5.247723357557559,-4.547026042606321,-3.786442539854925,-6.661761127755858,-3.5260598185721013,-3.6548901837548438,39
-5.3376843528690525,-3.816674867946392,-3.721554761205592,-3.0139012060412527,-6.289039492748552,-5.778755823857759,-3.3881505816143305,-5.17523276721848,-4.5769857943531775,-3.7016862165227913,-6.656454598324409,-3.440563648115681,-3.5607342840000347,40
-5.247071088066691,-3.7117084692066586,-3.847987205849117,-2.917995143187408,-6.177476854715064,-5.743940734609695,-3.3307605883390194,-5.095234063859539,-4.595489577826975,-3.639079424967028,-6.576398716925046,-3.390124550440828,-3.4960825128324102,41
-5.1538903549436395,-3.6260345049069307,-4.005887359052616,-2.85374524300474,-6.007301877047248,-5.672792887620356,-3.291051697862487,-5.001492167350922,-4.604026892231487,-3.5908051261725698,-6.426904679346635,-3.3649204277162026,-3.451390319426915,42
-5.059570858180035,-3.5567709669628313,-4.184004637070018,-2.8160062162080512,-5.793083604829172,-5.57419629294091,-3.266297897198317,-4.898756508081872,-4.605234965901251,-3.5548717281121487,-6.224128267564408,-3.3605572881245807,-3.423554876423921,43
-4.965541302456018,-3.5010358472899843,-4.371088456155255,-2.7996327735121436,-5.549391083144906,-5.457034960622527,-3.253773173360094,-4.79177651644163,-4.601751027170806,-3.529287638758496,-5.9842252635536015,-3.372641139848734,-3.4094733564637982,44
-4.873230392451722,-3.455947137804009,-4.555888232562259,-2.7994796256318177,-5.290793357078514,-5.33019290071637,-3.2507515133613976,-4.685301622819436,-4.596212304374687,-3.5120612660843404,-5.7233514492894395,-3.396777991071437,-3.406042932186915,45
-4.7840668328472855,-3.4186228304205293,-4.727153382544963,-2.8104014832818756,-5.0318594717140614,-5.20255412327361,-3.2545069042158112,-4.584081257604529,-4.591256025847432,-3.501201018062415,-5.457662606747158,-3.4285738499754634,-3.4101607762336412,46
-4.699479328322845,-3.3861809170551664,-4.8736333223573,-2.8272530571771175,-4.787158472135614,-5.083002638345411,-3.262313332936918,-4.49286485118615,-4.589519419923578,-3.4947153026654494,-5.203314517901983,-3.4636347247435864,-3.418724061244347,47
-4.620896583558537,-3.355739389623542,-4.984077468253198,-2.8448890580323467,-4.5712594034272405,-4.980422455982941,-3.2714447865383,-4.4164018339535405,-4.593639714937663,-3.490612527866175,-4.97646296472915,-3.49756662355858,-3.4286299598594026,48
-4.5497473032345015,-3.32441624004128,-5.047235236486593,-2.8581641965623628,-4.398731310673009,-4.90369758623737,-3.27917525203354,-4.359441636295942,-4.606254139224224,-3.4869011016373217,-4.793263729203893,-3.525975554603217,-3.436775644719177,49
-4.487460192030873,-3.2893294602240015,-5.051856043311415,-2.861933183481969,-4.284143238956983,-4.861712039159864,-3.282778716436221,-4.326733688602593,-4.629999921117798,-3.4815894319516216,-4.669872593301439,-3.5444675260602727,-3.4400582884640416,50
-4.435345435417735,-3.2525050761146845,-4.977349246211478,-2.8620289577624005,-4.233086164428428,-4.862258892824903,-3.2859322177400894,-4.326377127383837,-4.67320643218786,-3.4780387954898497,-4.608166691277624,-3.5570943432100917,-3.4422707245893585,51
-4.392649294543503,-3.218057406806189,-4.823942871377419,-2.867027896609366,-4.2335575456016095,-4.900454587591175,-3.293505531260919,-4.357946137704727,-4.737766197626083,-3.480181922880717,-4.59243473122619,-3.5706637412411015,-3.448737829706243,52
-4.357704587605831,-3.1862368839389634,-4.611614338123395,-2.8758998680893733,-4.273736151108088,-4.966168176936157,-3.3045617499953317,-4.413402722786566,-4.816661176200293,-3.486884403018854,-4.61244985587923,-3.5849156231981976,-3.458654841128693,53
-4.328844132802364,-3.1572939391534547,-4.360341065763574,-2.8876147402689307,-4.341800749579431,-5.0492687143373205,-3.3181639669399527,-4.484708885850659,-4.9028733266783195,-3.497011824798896,-4.657985207968838,-3.599589892126275,-3.4712169961707033,54
-4.304400748330749,-3.131479004090109,-4.090100473612113,-2.9011423812145463,-4.4259301096472,-5.13962525327214,-3.3333752750914023,-4.563826630118311,-4.989384607827991,-3.509429777115472,-4.718813930227104,-3.6144264510702278,-3.4856195321462704,55
-4.2827072523886365,-3.1090425103893735,-3.820869980983173,-2.9154526589927277,-4.514302999942962,-5.227106847218092,-3.3492587674463064,-4.6427179588108265,-5.069176978417136,-3.5230038488632167,-4.784709165386123,-3.6291652030749515,-3.5010576863693914,56
-4.262096463173673,-3.0902348896916947,-3.5726270071909143,-2.929515441669985,-4.595098189098281,-5.301582549652652,-3.364877537001285,-4.7133448751495095,-5.135232397213586,-3.536599628936762,-4.845444056177986,-3.6435460511853424,-3.516726696154063,57
-4.240901198883507,-3.0753065736375205,-3.365348971549499,-2.942300597312825,-4.656494445744721,-5.352921414053292,-3.3792946767529632,-4.767669382355665,-5.180532822985167,-3.549082706230739,-4.890791745334789,-3.6573088984462947,-3.531821798814281,58
-4.217454277715786,-3.0645079938672968,-3.219013293373091,-2.952777993987756,-4.686670538513845,-5.3709924938974885,-3.3915732796979623,-4.797653483650596,-5.198060214499708,-3.5593186696397825,-4.9105253755886205,-3.6701936479027024,-3.5455382316640427,59
-4.190088517868159,-3.0580895820214717,-3.1535973919758495,-2.959917499761286,-4.673805236037219,-5.345664842662716,-3.400776438832907,-4.795259182255609,-5.180796530525037,-3.5661731080585226,-4.894418089671577,-3.6819402025994625,-3.5570712320173437,60
