C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,time
-6.012960714575469,-3.1579271096596804,-4.894474161950657,-5.083962109040773,-3.8845556752457915,-4.2292114845825495,-5.304141601093429,-5.027959432839866,-4.502557842250479,-4.38869511743129,-4.817989723249409,-4.718018861356169,-4.300928684180792,-3.366861939857007,20
-6.074290104873987,-3.0978513052456265,-5.006040547134422,-5.1085375684505925,-3.8985695193286563,-4.205147296190933,-5.345497973281454,-5.098716568952477,-4.493309949251109,-4.4033440806935165,-4.787830454200745,-4.877750173533533,-4.256224718252923,-3.34788711057248,21
-6.123269669171493,-3.047551387840847,-5.096529369097282,-5.134848961090943,-3.908358023102069,-4.186652757433527,-5.376619441373856,-5.154995519566427,-4.490014330373851,-4.423963789321619,-4.765127563811276,-5.016310768516535,-4.221732630943419,-3.3336317646876332,22
-6.159899407467985,-3.007027357445342,-5.165940627839241,-5.162896286961826,-3.913921186566029,-4.173727868310331,-5.39750600537064,-5.196796284681719,-4.492670985618705,-4.450554243315598,-4.749881052081001,-5.133700646305177,-4.197452422252279,-3.3240959022024663,23
-6.184179319763463,-2.9762792140591108,-5.2142743233602955,-5.192679546063239,-3.915259009720537,-4.166372628821344,-5.408157665271801,-5.224118864298351,-4.501279914985668,-4.483115442675454,-4.742090919009919,-5.229919806899457,-4.183384092179502,-3.3192795231169794,24
-6.196109406057926,-2.955306957682153,-5.24153045566045,-5.224198738395185,-3.912371492565593,-4.164587038966567,-5.408574421077342,-5.236963258416322,-4.515841118474742,-4.521647387401186,-4.741757164598032,-5.304968250299377,-4.17952764072509,-3.3191826274311715,25
-6.1956896663513765,-2.9441105883144694,-5.247709024739703,-5.257453863957663,-3.905258635101197,-4.168371098746,-5.398756272787261,-5.235329467035633,-4.5363545960859275,-4.566150077492795,-4.748879788845339,-5.358845976504937,-4.185883067889042,-3.323805215145044,26
-6.182920100643813,-2.9426901059560593,-5.232810030598056,-5.29244492275067,-3.893920437327349,-4.177724808159644,-5.378703220401559,-5.219217490156285,-4.562820347819224,-4.616623512950279,-4.76345879175184,-5.391552985516136,-4.202450373671359,-3.333147286258597,27
-6.157800708935233,-2.9510455106069227,-5.196833473235511,-5.329171914774209,-3.8783568992440487,-4.192648167207496,-5.348415263920235,-5.188627327778276,-4.59523837367463,-4.67306769377364,-4.785494173317535,-5.403089277332975,-4.229229558072041,-3.347208840771829,28
-6.120331491225642,-2.969176802267061,-5.1397793526520665,-5.36763484002828,-3.858568020851297,-4.213141175889558,-5.307892403343291,-5.143558979901607,-4.63360867365215,-4.735482619962878,-4.814985933542425,-5.393454851955453,-4.266220621091088,-3.3659898786847413,29
-6.070512447515035,-2.9970839809364715,-5.061647668847725,-5.4078336985128805,-3.834553802149093,-4.239203834205831,-5.257134638670726,-5.084012446526277,-4.677931247751779,-4.8038682915179916,-4.851934072426508,-5.36264970938357,-4.313423562728499,-3.3894903999973334,30
-6.000889016180018,-3.0376797536810884,-4.944845469594501,-5.458887570774067,-3.8022849402768437,-4.2763897523792105,-5.187384718071638,-4.997857397902266,-4.737323574987532,-4.8904097035527725,-4.905710605758065,-5.29456312288489,-4.381560359026574,-3.4166342692802916,31
-5.907319774096481,-3.0925822910930947,-4.779598892543512,-5.525862612670756,-3.7595229336453304,-4.327784269422417,-5.0937775016399724,-4.878354761946229,-4.816850921478303,-5.001876297797104,-4.981522208975028,-5.1802446887191715,-4.476587663342142,-3.4468236335173303,32
-5.7947744290133585,-3.1598497884618695,-4.5776365725134145,-5.60267943717225,-3.708953984161616,-4.389684978520186,-4.982151157262996,-4.73359142515818,-4.910434967881417,-5.1301447441751264,-5.073120871551877,-5.030434891374704,-4.591357491647007,-3.4807759163279917,33
-5.668222688679577,-3.237540441076793,-4.350687144322864,-5.68325865724784,-3.653264293732761,-4.458389472857254,-4.858343852827976,-4.571654274038133,-5.011997394854203,-5.26709171261098,-5.174258582963094,-4.855874215339779,-4.7187218599129706,-3.519208541331819,34
-5.532634260844069,-3.3237124442272417,-4.110479242790517,-5.761520885866827,-3.5951400642658298,-4.5301953456183535,-4.728193756222179,-4.400630195086102,-5.115459883053981,-5.4045938730288,-5.278687332683158,-4.667303145102688,-4.851532784111831,-3.562838932148354,35
-5.392978853255764,-3.4164239932025966,-3.86874150273503,-5.8313867359985085,-3.537267497667883,-4.601400189988223,-4.597539035332875,-4.228606074802101,-5.21474411313808,-5.53452789535273,-5.3801591101865505,-4.475462165151719,-4.982642280215393,-3.6123845123971408,36
-5.254226173663594,-3.5137332832922357,-3.637202558975059,-5.886776820612181,-3.4823327958459833,-4.668301599151597,-4.472217858047329,-4.063668799686144,-5.303771765763823,-5.64877044950691,-5.4724259049477535,-4.291091759975167,-5.104902364195456,-3.6685627056977212,37
-5.1213459298164885,-3.613698509785537,-3.4275910463292605,-5.9216117526771415,-3.4330221607071936,-4.7271971662932115,-4.358068392252807,-3.9139052562382446,-5.376464521588537,-5.739198205415476,-5.549239706441245,-4.12493241406132,-5.211165052023819,-3.732090935669637,38
-4.999307829463378,-3.714377867971882,-3.251635599616289,-5.929812145162688,-3.392021794158576,-4.774384484597801,-4.2609288058365795,-3.7874023309584155,-5.426744061269548,-5.797687833002572,-5.6043525041415085,-3.9877246118984693,-5.294282359672287,-3.8036866259324333,39
-4.8930815803531935,-3.813829553140647,-3.1210648536548025,-5.905298611038118,-3.362017898107192,-4.806161147250101,-4.186637266685913,-3.6922469103466726,-5.44853206546418,-5.8161160021923335,-5.631516287523024,-3.8902088379749067,-5.34710630311266,-3.8840672001056498,40
-4.798272784092217,-3.927979908540433,-3.0331236721937747,-5.837135495260832,-3.3424197362147643,-4.819405985465603,-4.133214868418243,-3.62620874939862,-5.435364009403479,-5.783173326085937,-5.627211836005338,-3.829543874516452,-5.367738790533153,-3.979252720252256,41
-4.707286337240598,-4.067690626046293,-2.9741183952818067,-5.725551983431592,-3.3301134307601106,-4.816224549579853,-4.0935078222712775,-3.5796624222969866,-5.389951932719317,-5.701001006114555,-5.595963445366518,-3.7930129869940363,-5.362538050660163,-4.091843670431412,42
-4.62029088997808,-4.223422923887282,-2.939369872186996,-5.581215949484749,-3.324000471575938,-4.80075451145767,-4.065591972562686,-3.549602044322473,-5.319982362670261,-5.581651594697329,-5.543588379618819,-3.7765433847636176,-5.336740580272771,-4.217428107256948,43
-4.537455092484405,-4.385638020292454,-2.924198952177441,-5.4147952673546484,-3.3229823484949517,-4.7771335429638775,-4.047543163610142,-3.5330217307557796,-5.233141826514881,-5.437177644253399,-5.475903902774499,-3.776062277181157,-5.295582876150055,-4.351594087342696,44
-4.458947594939311,-4.544797133490868,-2.923926484521237,-5.236957810975634,-3.3259605513498585,-4.749499315963292,-4.037437239731316,-3.526915596877605,-5.137116851511741,-5.2796317072019034,-5.398727278845813,-3.78749687360261,-5.244301435071093,-4.489929667302485,45
-4.384937047522539,-4.691361481711579,-2.933873318486483,-5.058371454282052,-3.3318365699733645,-4.721989502320735,-4.0333500452438775,-3.5282777579686506,-5.039593964919406,-5.1210663359619835,-5.317875771845017,-3.806774383383935,-5.188132753814965,-4.628022903750149,46
-4.315592100413829,-4.815792283183645,-2.949360303341275,-4.8897040712082465,-3.3395118941981763,-4.698741773901026,-4.033357424465499,-3.534102329309616,-4.948259693996445,-4.973534082952774,-5.239166645784368,-3.8298220158810916,-5.132313329160747,-4.76146185329952,47
-4.251081403792921,-4.90855075613612,-2.9657082883537105,-4.741623535688567,-3.3478880138569993,-4.683893802568984,-4.035535221713853,-3.541383426181201,-4.8708005660014235,-4.84908750059342,-5.1684171646761214,-3.852566980450037,-5.082079657887518,-4.885834572564425,48
-4.191573607839557,-4.96009811879806,-2.9782381227918866,-4.624797721657357,-3.3558664187825404,-4.6815832601894325,-4.037959281306607,-3.547115163864105,-4.814903108192909,-4.75977914130306,-5.111444592532536,-3.87093648644673,-5.042668236774357,-4.996729118158699,49
-4.137237362733479,-4.960895589398523,-2.9822706559239,-4.549894503048964,-3.3623485988075057,-4.695947818627189,-4.038705447561437,-3.54829165763903,-4.788253847829468,-4.717661557500832,-5.074066193365865,-3.8808577432271285,-5.019315562600345,-5.089733546696171,50
