C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-5.544915615603814,-3.225856213604469,-4.255339174777635,-4.923100584873468,-3.989061544518993,-4.910957317680457,-4.378414252643056,-4.170778441568357,-4.817989723249409,-4.180026914580909,-4.718018861356169,-3.3708176466074122,20
-5.5877277582790175,-3.1583560243617086,-4.203097186296655,-5.026930179237563,-4.007065446231029,-4.93302713655453,-4.355755616074787,-4.181503106244393,-4.787830454200745,-4.144565898557827,-4.877750173533533,-3.3516900514607695,21
-5.625286717008793,-3.1012249146256012,-4.161783450234053,-5.110917283088557,-4.020370757253103,-4.950246659960618,-4.340054727708782,-4.196766810424384,-4.765127563811276,-4.117795998139484,-5.016310768516535,-3.337359545511532,22
-5.657592491793144,-3.0544628843961474,-4.1313979665898275,-5.175061896426453,-4.028977477585214,-4.962615887898718,-4.331311587545043,-4.216569554108331,-4.749881052081001,-4.099717213325878,-5.133700646305177,-3.3278261287597006,23
-5.684645082632068,-3.0180699336733463,-4.111940735363977,-5.219364019251249,-4.032885607227365,-4.970134820368831,-4.3295261955835675,-4.240911337296231,-4.74209091900992,-4.09032954411701,-5.229919806899458,-3.3230898012052736,24
-5.706444489525565,-2.992046062457197,-4.103411756556505,-5.2438236515629475,-4.032095146179551,-4.972803457370959,-4.334698551824358,-4.269792159988088,-4.741757164598032,-4.089632990512878,-5.304968250299379,-3.3231505628482525,25
-5.722990712473638,-2.976391270747701,-4.105811030167409,-5.248440793361546,-4.026606094441777,-4.970621798905099,-4.346828656267412,-4.3032120221838985,-4.74887978884534,-4.097627552513484,-5.358845976504939,-3.3280084136886368,26
-5.734283751476284,-2.971105558544858,-4.119138556196691,-5.233215444647048,-4.01641845201404,-4.9635898449712545,-4.365916508912733,-4.3411709238836655,-4.763458791751841,-4.11431323011883,-5.391552985516138,-3.337663353726426,27
-5.740323606533503,-2.9761889258486676,-4.1433943346443485,-5.198147605419449,-4.00153221889634,-4.951707595569422,-4.391962109760315,-4.383668865087387,-4.785494173317536,-4.139690023328911,-5.4030892773329775,-3.3521153829616193,28
-5.741110277645297,-2.9916413726591307,-4.1785783655103845,-5.143237275678756,-3.9819473950886786,-4.934975050699603,-4.424965458810165,-4.430705845795063,-4.814985933542426,-4.173757932143731,-5.393454851955456,-3.371364501394219,29
-5.736643764811664,-3.017462898976246,-4.224690648794796,-5.068484455424963,-3.9576639805910543,-4.913392210361799,-4.464926556062279,-4.482281866006695,-4.851934072426509,-4.216516956563289,-5.3626497093835725,-3.3954107090242225,30
-5.7278195856701535,-3.0567902191693435,-4.292222164931098,-4.957485500831039,-3.9242415931997736,-4.884348521262303,-4.520440414367637,-4.546875409662784,-4.905710605758066,-4.276782244551368,-5.294563122884893,-3.423480596047958,31
