C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-5.268557750565438,-6.0011087412904525,-5.587236657818544,-5.376732523143782,-4.49127246220178,-3.7215621982921143,-5.667933892511977,-3.386428824287996,-4.36699140890499,-4.547820519222223,-5.410747662173311,-4.658826687384799,-5.584026673387002,-4.91499391956195,-3.6988045111910006,-4.0829308010441165,10
-5.285531681284169,-5.993212827400185,-5.570699088807182,-5.309543840727845,-4.475919889792421,-3.7301775254615315,-5.657451425750577,-3.390336333692263,-4.362069869466321,-4.514542118312873,-5.327762901467639,-4.623437689241159,-5.513862674731057,-4.849096485934878,-3.699758844326136,-4.068148811302212,11
-5.302852490669887,-5.985764822995362,-5.555097944891366,-5.247812607203175,-4.461873133016744,-3.7384326970086637,-5.649646009989672,-3.3940989372990287,-4.3592173054363315,-4.483514942480779,-5.252700106911211,-4.592981739364668,-5.451306127098666,-4.792779878623618,-3.7006029102948172,-4.05465924260037,12
-5.3205201787225915,-5.978764728075983,-5.540433226071093,-5.191538822569771,-4.449132191874749,-3.746327712933508,-5.644517645229262,-3.3977166351082926,-4.358433716815022,-4.454738991725942,-5.185559278504024,-4.567458837755327,-5.396357030489827,-4.746044097628166,-3.7013367090970433,-4.042462094938591,13
-5.338534745442282,-5.972212542642048,-5.526704932346365,-5.1407224868276336,-4.437697066366436,-3.7538625732360686,-5.642066331469345,-3.401189427120055,-4.359719103602394,-4.4282142660483625,-5.126340416246079,-4.546868984413134,-5.3490153849045425,-4.708889142948528,-3.7019602407328143,-4.031557368316874,14
-5.3568961908289605,-5.966108266693557,-5.5139130637171805,-5.095363599976762,-4.427567756491804,-3.761037277916343,-5.642292068709924,-3.4045173133343156,-4.363073465798447,-4.403940765448039,-5.075043520137376,-4.531212179338091,-5.309281190342812,-4.681315014584701,-3.7024735052021307,-4.021945062735221,15
-5.375604514882626,-5.960451900230512,-5.50205762018354,-5.055462162017157,-4.418744262250855,-3.7678518269743324,-5.645194856950997,-3.407700293751075,-4.36849680340318,-4.381918489924972,-5.031668590177914,-4.520488422530198,-5.277154446804635,-4.663321712536684,-3.702876502504992,-4.01362517819363,16
-5.39465971760328,-5.95524344325291,-5.491138601745441,-5.0210181729488195,-4.411226583643589,-3.774306220410036,-5.650774696192565,-3.410738368370333,-4.375989116416593,-4.362147439479163,-4.996215626367697,-4.514697713989453,-5.2526351542900125,-4.654909236804478,-3.7031692326413985,-4.006597714692102,17
-5.414061798990919,-5.950482895760752,-5.481156008402885,-4.992031632771749,-4.405014720670004,-3.780400458223454,-5.659031586434629,-3.41363153719209,-4.385550404838688,-4.34462761411061,-4.96868462870672,-4.513840053715858,-5.235723312798944,-4.656077587388084,-3.7033516956113504,-4.000862672230636,18
-5.433810759045546,-5.946170257754038,-5.472109840155869,-4.968502541485943,-4.400108673330101,-3.786134540414586,-5.669965527677186,-3.4163798002163444,-4.3971806686694634,-4.329359013819315,-4.9490755971949865,-4.5179154417094125,-5.226418922331428,-4.666826764287499,-3.703423891414847,-3.996420050809233,19
-5.45390659776716,-5.942305529232769,-5.464000097004395,-4.950430899091406,-4.396508441623882,-3.7915084669834336,-5.683576519920239,-3.4189831574430984,-4.410879907908919,-4.316341638605275,-4.937388531832493,-4.526923877970116,-5.224721982887466,-4.687156767502728,-3.7033858200518885,-3.993269850427893,20
-5.47585225931644,-5.940751333358667,-5.461903608039221,-4.940242261250893,-4.39606677356185,-3.7954849336833103,-5.702662941056618,-3.4207163672692804,-4.429591969635816,-4.303218106572304,-4.934120248049399,-4.546907753998493,-5.233814019396988,-4.727705505366061,-3.7028345582353155,-3.9918991586648347,21
