C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-5.2685577505654395,-6.001108741290465,-4.798260029409596,-3.613154907639968,-5.144956582676267,-5.376732523143783,-5.826962178701053,-3.4640993256092103,-4.144033951903698,-4.36699140890499,-5.710316845222831,-6.3729269638664094,-5.534518384468804,-3.487384343495042,-4.892216054980683,-4.445488802531214,-3.7139390087446653,-3.9203707335377502,-4.943975390144303,-4.082930801044118,-4.832497865966379,10
-5.28553168128417,-5.993212827400198,-4.79376506986844,-3.6255247594363817,-5.130567200834927,-5.309543840727847,-5.79165103509991,-3.465683417276123,-4.131149465339609,-4.362069869466321,-5.656863938192437,-6.295382868760044,-5.460691310941509,-3.4851577323778424,-4.843090113370166,-4.427322033092417,-3.7164791471065537,-3.909514612778031,-4.943314115251341,-4.068148811302214,-4.781636376077195,11
-5.3028524906698875,-5.985764822995374,-4.783726907784284,-3.6340677712584015,-5.117168444537132,-5.247812607203176,-5.761030394910075,-3.4672099717546354,-4.119259544264282,-4.359217305436332,-5.608114630012888,-6.2235545962315975,-5.3945615499022495,-3.48324409924537,-4.801638363976558,-4.411891551455335,-3.71893426053943,-3.8998952456221363,-4.943046206772268,-4.054659242600373,-4.734045889600001,12
-5.320520178722591,-5.978764728075993,-4.768145543157125,-3.6387839431060245,-5.104760313782885,-5.191538822569772,-5.7351002581315464,-3.468678989044747,-4.108364188677719,-4.358433716815024,-5.564068920684182,-6.15744214628107,-5.336129101351027,-3.4816434440976245,-4.767860806799858,-4.3991973576199666,-3.721304349043294,-3.8915126320700644,-4.943171664707078,-4.0424620949385925,-4.6897264065347954,13
-5.338534745442283,-5.972212542642057,-4.747020975986966,-3.6396732749792524,-5.093342808572187,-5.140722486827634,-5.713860624764325,-3.4700904691464594,-4.098463398579917,-4.359719103602395,-5.524726810206321,-6.097045518908461,-5.285393965287839,-3.480355766934607,-4.7417574418400665,-4.389239451586315,-3.7235894126181472,-3.884366772121817,-4.943690489055779,-4.031557368316877,-4.64867792688158,14
-5.356896190828962,-5.966108266693566,-4.7203532062738045,-3.6367357668780853,-5.082915928905037,-5.095363599976762,-5.697311494808413,-3.4714444120597716,-4.089557173970879,-4.363073465798448,-5.4900882985793045,-6.042364714113772,-5.242356141712688,-3.4793810677563166,-4.723328269097185,-4.382017833354377,-3.725789451263988,-3.878457665777393,-4.944602679818366,-4.021945062735223,-4.6109004506403535,15
-5.375604514882626,-5.960451900230518,-4.688142234017642,-3.6299714188025227,-5.073479674781438,-5.055462162017157,-5.685452868263808,-3.472740817784684,-4.081645514850604,-4.368496803403182,-5.4601533858031335,-5.993399731897001,-5.207015630625572,-3.4787193465627535,-4.712573288571212,-4.377532502924154,-3.727904464980817,-3.8737853130367927,-4.945908236994839,-4.0136251781936325,-4.576393977811117,16
-5.394659717603279,-5.9552434432529155,-4.6503880592184785,-3.6193802307525647,-5.065034046201389,-5.02101817294882,-5.678284745130512,-3.473979686321197,-4.074728421219092,-4.375989116416596,-5.434922071877805,-5.95015057225815,-5.1793724320264944,-3.478370603353918,-4.709492500262148,-4.375783460295647,-3.7299344537686348,-3.870349713900016,-4.947607160585202,-4.006597714692104,-4.54515850839387,17
-5.414061798990919,-5.950482895760756,-4.607090681876313,-3.6049622027282116,-5.057579043164891,-4.992031632771749,-5.675807125408523,-3.47516101766931,-4.068805893076342,-4.385550404838691,-5.4143943568033235,-5.912617235197221,-5.1594265459154505,-3.478334838129809,-4.714085904169993,-4.376770705468854,-3.7318794176274404,-3.868150868367063,-4.94969945058945,-4.000862672230639,-4.517194042388613,18
-5.433810759045546,-5.946170257754042,-4.5582501019911454,-3.586717334729463,-5.051114665671946,-4.968502541485943,-5.678020009097842,-3.4762848118290233,-4.063877930422356,-4.397180668669465,-5.398570240579685,-5.880799720714206,-5.147177972292444,-3.4786120508904275,-4.726353500294746,-4.3804942384437755,-3.7337393565572343,-3.8671887764379336,-4.952185107007586,-3.9964200508092365,-4.492500579795346,19
-5.45390659776716,-5.9423055292327724,-4.503866319562977,-3.564645626756319,-5.045640913722554,-4.950430899091406,-5.684923396198468,-3.4773510688003366,-4.059944533257133,-4.410879907908922,-5.387449723206892,-5.854698028809114,-5.142626711157474,-3.4792022416357735,-4.746295288636407,-4.386954059220413,-3.7355142705580167,-3.8674634381126274,-4.955064129839609,-3.9932698504278963,-4.471078120614067,20
-5.47585225931644,-5.94075133335867,-4.441170696575742,-3.5382672434748224,-5.044878888014857,-4.940242261250893,-5.700418637203708,-3.4774715768559377,-4.055418860961185,-4.429591969635818,-5.388582003422328,-5.844560879223376,-5.14818722758339,-3.479271663464502,-4.781733177551249,-4.399008761290049,-3.736780775374789,-3.8691333231769094,-4.955456435988121,-3.991899158664838,-4.453077439253297,21
-5.5004827126715385,-5.942542460777136,-4.36862510079829,-3.5073156096994413,-5.050895866714489,-4.93928415888816,-5.726673149054283,-3.4761528850362065,-4.049419335412573,-4.454952324449466,-5.406161080524537,-5.856082005146681,-5.165200891055111,-3.4783571236536432,-4.837012671681645,-4.418246452147842,-3.7373036575325522,-3.8722864704006477,-4.951761979287897,-3.9925785797301807,-4.438582299273322,22
-5.526795995058672,-5.94643716271369,-4.288075290908002,-3.4721106156528143,-5.061211116022687,-4.945939554894703,-5.761086031421326,-3.473987134492687,-4.043003850357623,-4.484998407630693,-5.435154155355267,-5.882428926751403,-5.192058058190735,-3.4770144534707614,-4.9069191654567454,-4.4427614027996025,-3.7373651732013062,-3.8768172332600006,-4.945900815137206,-3.9949833885717814,-4.4274921844018,23
-5.553790143704053,-5.951193690393847,-4.201367025582251,-3.4329721515575784,-5.07334390214069,-4.958591412162012,-5.801056383975966,-3.4715664663769195,-4.03723029954266,-4.517767654460324,-5.4705284287562606,-5.91676916420992,-5.227149085608363,-3.4757994841834186,-4.986238053305706,-4.470647884251141,-3.737247578551048,-3.8826199652311244,-4.939792998934311,-3.998788860137492,-4.41970657836638,24
-5.580463195833898,-5.955570295043127,-4.110346063498419,-3.390220107636374,-5.084813491269732,-4.9756226935815855,-5.843983306389332,-3.4694830218404467,-4.033156576714011,-4.551297500219187,-5.50725110156926,-5.952270237694605,-5.2688643299260915,-3.4752680470591786,-5.069754729657674,-4.500000167508269,-3.7372331297517762,-3.8895890197901775,-4.9353585860774825,-4.003670269375169,-4.415124964894721,25
-5.605813188674421,-5.958325227887049,-4.01685816333388,-3.344174374111837,-5.093139149611054,-4.995416362044915,-5.88726589833256,-3.468328942034811,-4.031840575618001,-4.583625380188108,-5.540289374636011,-5.982099667377836,-5.315594147762023,-3.4759759733656055,-5.1522545889418065,-4.528912523576795,-3.7376040829734922,-3.8976187504133155,-4.934517631964985,-4.009302891232666,-4.413646827714475,26
-5.628838159451838,-5.958216740151131,-3.922749083766013,-3.2951548412066067,-5.095840143365894,-5.016355380443496,-5.928303259476777,-3.4686963681115555,-4.034340190000956,-4.6127887296479155,-5.564610448798257,-5.99942497343199,-5.3657288957342555,-3.4784790943702606,-5.228523025587254,-4.555479223462531,-3.7386426943861935,-3.906603510576697,-4.9391901919950865,-4.015362000657838,-4.4151716505532965,27
