C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-5.908086393261883,-4.798260029409593,-3.628736933479725,-5.177593669219568,-5.493606558491054,-4.907556329509327,-5.6807402815849315,-4.001660843769228,-4.366991408904992,-5.75140252082288,-5.302426946073018,-3.5514706400382106,-3.163918558400731,-3.679833716348886,-4.842404178002594,-4.2485695266586685,-3.817361989810683,-4.51345309559421,10
-5.903348554877518,-4.793765069868438,-3.6360512360423898,-5.161525756793113,-5.4279112475440545,-4.946368834751011,-5.626171173020713,-3.9904865315394806,-4.362069869466322,-5.6831605378977255,-5.310113971376652,-3.549554237488298,-3.1600943618634685,-3.682409304981196,-4.80465700346074,-4.233144250474527,-3.8044558262569765,-4.505731463276777,11
-5.899045796668319,-4.783726907784282,-3.6397846634160937,-5.146574056542344,-5.368314554658363,-4.984029496492531,-5.577795972406165,-3.9802681182195383,-4.359217305436333,-5.62060919991326,-5.31686441863261,-3.5478913826274514,-3.156768728689877,-3.684854693674556,-4.77333214763076,-4.219892936767889,-3.792764091920161,-4.498852724686319,12
-5.895178118634283,-4.768145543157123,-3.6399372156008347,-5.1327385684672615,-5.314816479833977,-5.020538314733886,-5.535614679741288,-3.9710056038094,-4.358433716815024,-5.563748506869482,-5.322678287840889,-3.5464820754556694,-3.1539416588799556,-3.6871698824289663,-4.7484296105126536,-4.208815585538757,-3.7822867868002366,-4.492816879822835,13
-5.8917455207754115,-4.747020975986963,-3.636508892596616,-5.120019292567871,-5.267417023070902,-5.055895289475076,-5.499627295026083,-3.962698988309066,-4.359719103602395,-5.5125784587663915,-5.3275555790014915,-3.545326315972954,-3.1516131524337068,-3.6893548712444275,-4.729949392106422,-4.199912196787131,-3.773023910897204,-4.487623928686328,14
-5.888748003091704,-4.720353206273802,-3.6294996944034352,-5.10841622884417,-5.226116184369133,-5.090100420716103,-5.46983381826055,-3.9553482717185378,-4.363073465798447,-5.467099055603991,-5.331496292114416,-3.544424104179304,-3.149783209351129,-3.691409660120939,-4.717891492412066,-4.19318277051301,-3.7649754642110627,-4.483273871276795,15
-5.886185565583162,-4.68814223401764,-3.618909621021293,-5.097929377296162,-5.190913963728672,-5.1231537084569645,-5.446234249444689,-3.9489534540378135,-4.368496803403179,-5.427310297382278,-5.334500427179664,-3.54377544007472,-3.1484518296322226,-3.6933342490585006,-4.712255911429583,-4.188627306716396,-3.7581414467418126,-4.479766707594237,16
-5.884058208249782,-4.650388059218476,-3.60473867245019,-5.088558737923847,-5.161810361149522,-5.1550551526976625,-5.428828588578501,-3.943514535266894,-4.3759891164165925,-5.3932121841012535,-5.336567984197235,-3.543380323659202,-3.1476190132769877,-3.6951286380571124,-4.713042649158975,-4.186245805397287,-3.752521858489454,-4.477102437638654,17
-5.882365931091567,-4.607090681876311,-3.5869868486901253,-5.080304310727227,-5.138805376631678,-5.1858047534381955,-5.417616835661984,-3.9390315154057784,-4.385550404838686,-5.3648047157609176,-5.337698963167128,-3.5432387549327498,-3.147284760285424,-3.6967928271167754,-4.7202517056002415,-4.186038266555685,-3.748116699453987,-4.475281061410045,18
-5.8811087341085155,-4.558250101991144,-3.5656541497410985,-5.073166095706304,-5.121899010175142,-5.2154025106785635,-5.41259899069514,-3.9355043944544676,-4.397180668669462,-5.342087892361269,-5.337893364089344,-3.5433507338953634,-3.1474490706575318,-3.698326816237488,-4.733883080753383,-4.188004690191587,-3.744925969635411,-4.4743025789084125,19
-5.880286617300628,-4.503866319562976,-3.5407405756031114,-5.067144092861078,-5.111091261779915,-5.243848424418767,-5.413775053677968,-3.9329331724129615,-4.410879907908917,-5.3250617139023095,-5.337151186963882,-3.543716260547043,-3.148111944393311,-3.6997306054192514,-4.753936774618399,-4.192145076304995,-3.7429496690337265,-4.474166990133754,20
-5.8817165303056855,-4.441170696575739,-3.5113124195559036,-5.066132894425726,-5.110381109532091,-5.268113989845728,-5.424302932393545,-3.9304928852923795,-4.429591969635815,-5.321428655750485,-5.337366732572702,-3.5436139154393387,-3.1486910949845655,-3.7004533709468284,-4.787585858813278,-4.200305471997623,-3.74217801485358,-4.473677797326481,21
-5.886407889589121,-4.368625100798289,-3.4768509556437754,-5.072296162752564,-5.121990207923948,-5.2865167042855115,-5.445937020054694,-3.927725219765566,-4.4549523244494615,-5.335467870887159,-5.339592390239113,-3.542642909989776,-3.148863029926741,-3.700189099645087,-4.838815373125789,-4.213511458992646,-3.7426055722086655,-4.472170279509041,22
-5.893149395392416,-4.288075290908,-3.4379786550135667,-5.083037503018809,-5.143252571564752,-5.30107557094684,-5.476572044806027,-3.925180151825108,-4.484998407630688,-5.362044375734695,-5.342565292775142,-3.5412841904973242,-3.1490159402253024,-3.6993050073241855,-4.9028432698106075,-4.230532339222253,-3.7442388629625514,-4.470442101854494,23
-5.900729747957047,-4.2013670255822495,-3.3953179888121165,-5.095760520401673,-5.171502215063774,-5.31380959303843,-5.514102734792162,-3.9234076574635925,-4.517767654460321,-5.396023186715465,-5.34502257299282,-3.5400187032609494,-3.1495380168857134,-3.6981683097942817,-4.974887501122409,-4.250137414618636,-3.747084408978806,-4.469290929535903,24
-5.907937647524495,-4.110346063498417,-3.3494914281862656,-5.107868820078373,-5.204073153030284,-5.326737773769001,-5.556423818157709,-3.9229577126736057,-4.551297500219183,-5.432269320251834,-5.345701363704169,-3.5393273945796175,-3.1508174509134386,-3.697146222865533,-5.050166019315869,-4.271095987113985,-3.7511487321209964,-4.469514427726328,25
-5.91356179433624,-4.016858163333878,-3.301121444282852,-5.116766007226125,-5.238299400073553,-5.341879116347275,-5.60143002304729,-3.9243802934477348,-4.5836253801881055,-5.4656477927661715,-5.3433387977212234,-3.539691210752297,-3.1532424333139426,-3.696605962348099,-5.123896776645662,-4.292177358640491,-3.756438354252693,-4.471910261598827,26
