C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-5.910395962748231,-4.79826002940959,-3.628736933479726,-5.256518628022,-5.493606558491053,-4.907556329509332,-4.00166084376922,-4.36699140890499,-5.751402520822877,-5.30242694607302,-3.55147064003821,-3.1639185584007308,-3.6798337163488855,-4.842404178002594,-4.248569526658669,-3.8173619898106828,-4.513453095594209,10
-5.9067790843316805,-4.793765069868436,-3.6360512360423907,-5.234411312279813,-5.427911247544054,-4.9463688347510155,-3.9904865315394726,-4.36206986946632,-5.683160537897723,-5.310113971376654,-3.549554237488298,-3.160094361863468,-3.682409304981196,-4.80465700346074,-4.233144250474527,-3.8044558262569756,-4.505731463276776,11
-5.903481310470674,-4.78372690778428,-3.639784663416094,-5.21421671001119,-5.368314554658363,-4.9840294964925365,-3.980268118219531,-4.3592173054363315,-5.6206091999132575,-5.316864418632612,-3.5478913826274514,-3.1567687286898765,-3.684854693674556,-4.773332147630761,-4.21989293676789,-3.79276409192016,-4.498852724686318,12
-5.900502641165213,-4.768145543157121,-3.6399372156008356,-5.195934821216131,-5.314816479833978,-5.02053831473389,-3.9710056038093935,-4.358433716815022,-5.563748506869479,-5.3226782878408905,-3.5464820754556703,-3.153941658879956,-3.687169882428967,-4.748429610512654,-4.208815585538756,-3.7822867868002352,-4.492816879822836,13
-5.897843076415296,-4.747020975986962,-3.6365088925966154,-5.179565645894641,-5.2674170230709025,-5.055895289475081,-3.9626989883090604,-4.3597191036023935,-5.51257845876639,-5.327555579001493,-3.545326315972955,-3.1516131524337068,-3.689354871244428,-4.729949392106424,-4.19991219678713,-3.773023910897203,-4.487623928686327,14
-5.895502616220924,-4.720353206273802,-3.6294996944034343,-5.165109184046721,-5.226116184369136,-5.090100420716107,-3.9553482717185324,-4.363073465798446,-5.467099055603989,-5.331496292114418,-3.5444241041793054,-3.149783209351129,-3.69140966012094,-4.717891492412067,-4.193182770513008,-3.764975464211061,-4.4832738712767934,15
-5.893481260582095,-4.688142234017639,-3.618909621021291,-5.152565435672373,-5.1909139637286765,-5.123153708456968,-3.948953454037809,-4.368496803403179,-5.427310297382276,-5.334500427179665,-3.5437754400747217,-3.1484518296322226,-3.6933342490585015,-4.712255911429585,-4.188627306716393,-3.7581414467418117,-4.479766707594235,16
-5.891779009498811,-4.650388059218475,-3.6047386724501878,-5.141934400771597,-5.161810361149525,-5.155055152697665,-3.94351453526689,-4.3759891164165925,-5.393212184101252,-5.336567984197236,-3.5433803236592034,-3.1476190132769877,-3.6951286380571142,-4.713042649158978,-4.1862458053972835,-3.752521858489453,-4.477102437638653,17
-5.89039586297107,-4.607090681876311,-3.586986848690123,-5.1332160793443995,-5.138805376631683,-5.185804753438197,-3.9390315154057753,-4.385550404838686,-5.364804715760915,-5.33769896316713,-3.5432387549327515,-3.147284760285425,-3.696792827116777,-4.720251705600245,-4.186038266555681,-3.7481166994539854,-4.475281061410044,18
-5.889331820998871,-4.558250101991144,-3.565654149741096,-5.126410471390775,-5.121899010175147,-5.215402510678566,-3.935504394454465,-4.397180668669462,-5.342087892361268,-5.337893364089345,-3.5433507338953656,-3.1474490706575327,-3.6983268162374903,-4.733883080753387,-4.188004690191582,-3.7449259696354096,-4.474302578908412,19
