C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-5.9103959627482325,-4.798260029409592,-3.718111795301471,-5.256518628021986,-5.596565180311675,-4.907556329509333,-4.2821754693472185,-4.366991408904989,-4.413808369889103,-3.6587903881171533,-5.003194535932837,-3.303436211781592,-5.2972851567086385,-3.831769814107962,-4.51345309559421,10
-5.906779084331683,-4.793765069868437,-3.728383748164712,-5.234411312279801,-5.56540809129644,-4.946368834751017,-4.254769677086963,-4.362069869466319,-4.390407432591239,-3.659423547370373,-4.996537367009281,-3.2996728173737973,-5.32391787882143,-3.8187974365633353,-4.505731463276777,11
-5.903481310470679,-4.783726907784281,-3.7348865995283873,-5.21421671001118,-5.537643553541931,-4.9840294964925365,-4.230058938364815,-4.35921730543633,-4.369538773137709,-3.6600992902248244,-4.989817877092996,-3.2964841308214714,-5.346525391876795,-3.8070189072176266,-4.498852724686319,12
-5.900502641165217,-4.7681455431571225,-3.7376203493924987,-5.1959348212161265,-5.51327156704814,-5.020538314733892,-4.208043253180773,-4.3584337168150205,-4.351202391528509,-3.660817616680506,-4.98303606618398,-3.2938701521246143,-5.365107695874735,-3.7964342260708355,-4.492816879822835,13
-5.8978430764153025,-4.747020975986963,-3.7365849977570447,-5.17956564589464,-5.492292131815073,-5.055895289475081,-4.188722621534838,-4.359719103602393,-4.335398287763644,-3.6615785267374186,-4.976191934282235,-3.291830881283227,-5.37966479081525,-3.787043393122963,-4.487623928686327,14
-5.895502616220931,-4.720353206273803,-3.7317805446220267,-5.165109184046725,-5.474705247842727,-5.090100420716107,-4.1720970434270095,-4.363073465798446,-4.32212646184311,-3.6623820203955626,-4.96928548138776,-3.2903663182973077,-5.39019667669834,-3.778846408374008,-4.483273871276794,15
-5.893481260582102,-4.68814223401764,-3.7232069899874434,-5.152565435672381,-5.4605109151311035,-5.123153708456967,-4.158166518857288,-4.368496803403179,-4.311386913766911,-3.663228097654937,-4.962316707500556,-3.2894764631668587,-5.396703353524003,-3.771843271823972,-4.479766707594235,16
-5.891779009498819,-4.650388059218476,-3.7108643338532956,-5.141934400771611,-5.449709133680202,-5.155055152697663,-4.146931047825673,-4.3759891164165925,-4.303179643535043,-3.6641167585155427,-4.9552856126206235,-3.2891613158918775,-5.399184821292243,-3.7660339834728536,-4.477102437638653,17
-5.890395862971078,-4.607090681876311,-3.6947525762195834,-5.133216079344415,-5.4422999034900235,-5.185804753438197,-4.1383906303321645,-4.385550404838687,-4.2975046511475075,-3.6650480029773784,-4.948192196747961,-3.289420876472366,-5.397641080003058,-3.7614185433206533,-4.475281061410044,18
-5.88933182099888,-4.558250101991144,-3.6748717170863063,-5.126410471390795,-5.438283224560567,-5.215402510678564,-4.132545266376762,-4.3971806686694626,-4.2943619366043055,-3.6660218310404455,-4.941036459882567,-3.290255144908323,-5.392072129656445,-3.757996951367371,-4.474302578908412,19
-5.888586883582226,-4.503866319562976,-3.651221756453465,-5.121517576910753,-5.4376590968918315,-5.2438484244187675,-4.129394955959467,-4.410879907908918,-4.293751499905435,-3.6670382427047423,-4.933818402024444,-3.2916641211997497,-5.38247797025241,-3.7557692076130076,-4.474166990133753,20
-5.889905588745992,-4.441170696575739,-3.6230317043853644,-5.1223164297931945,-5.442106833348552,-5.2681139898457285,-4.1295243014280985,-4.4295919696358155,-4.297479345604347,-3.6671581657259305,-4.9266536501615805,-3.2933147218403924,-5.359635898046567,-3.7544292841453393,-4.47367779732648,21
