C1,C2,C3,C4,C5,C6,time
-5.833697483382524,-4.277843386502288,-5.013774393813781,-5.288197505859167,-4.152922503027961,-3.602237393758064,10
-5.827171971858382,-4.251560962096855,-4.992133183826849,-5.270169967630607,-4.135110133389851,-3.603434653828251,11
-5.821187319783962,-4.223447623325025,-4.972508596021936,-5.254066469364994,-4.119214845763057,-3.604668380530064,12
-5.815743527159263,-4.193503370186797,-4.9549006303990435,-5.239887011062327,-4.105236640147577,-3.6059385738635026,13
-5.810840593984287,-4.161728202682175,-4.939309286958177,-5.227631592722607,-4.093175516543413,-3.607245233828568,14
-5.8064785202590325,-4.128122120811154,-4.9257345656993365,-5.217300214345833,-4.083031474950563,-3.6085883604252587,15
-5.802657305983501,-4.0926851245737375,-4.914176466622527,-5.208892875932007,-4.0748045153690295,-3.6099679536535763,16
-5.799376951157694,-4.055417213969924,-4.904634989727749,-5.202409577481126,-4.0684946377988105,-3.61138401351352,17
-5.796637455781607,-4.0163183889997125,-4.897110135015006,-5.197850318993193,-4.064101842239907,-3.6128365400050897,18
-5.794438819855244,-3.9753886496631035,-4.8916019024843,-5.1952151004682054,-4.0616261286923185,-3.614325533128285,19
-5.7927810433786036,-3.9326279959600976,-4.888110292135635,-5.194503921906164,-4.061067497156046,-3.6158509928831073,20
-5.793440165786619,-3.887905942495603,-4.889556977993771,-5.194166630212069,-4.06239365900499,-3.616422003239721,21
-5.7974028756542495,-3.8411499973834577,-4.897565112294684,-5.193342029222028,-4.065586676113544,-3.615488055292662,22
-5.8034851466915445,-3.792447150887057,-4.9101869123551944,-5.193063554332713,-4.070668074232438,-3.613709759728488,23
-5.810502952608545,-3.7418843932697943,-4.925474595492129,-5.194364640940786,-4.077659379112404,-3.611747727233755,24
-5.817272267115299,-3.6895487147950643,-4.941480379022307,-5.198278724442918,-4.0865821165041725,-3.6102625684950174,25
-5.822609063921851,-3.635527105726261,-4.956256480262554,-5.205839240235775,-4.097457812158474,-3.6099148941988344,26
-5.825329316738246,-3.5799065563267782,-4.967855116529692,-5.218079623716028,-4.110307991826042,-3.6113653150317613,27
-5.824248999274531,-3.5227740568600114,-4.974328505140543,-5.236033310280337,-4.125154181257606,-3.6152744416803535,28
-5.818184085240749,-3.4642165975893535,-4.973728863411932,-5.260733735325377,-4.142017906203899,-3.6223028848311705,29
-5.805950548346948,-3.404321168778199,-4.964108408660681,-5.293214334247811,-4.160920692415649,-3.633111255170766,30
-5.792164188214388,-3.334612420220192,-4.949316776910497,-5.338546226779905,-4.177970454321589,-3.6483739652176435,31
-5.780617217081503,-3.2502916118979095,-4.933512577623775,-5.398474990880075,-4.190982599159142,-3.6677806108441726,32
-5.768890227584094,-3.1569606493581492,-4.915211488275361,-5.469045749284223,-4.202539891892081,-3.690514577767709,33
-5.75456381235796,-3.0602214381477078,-4.892929186340105,-5.546303624728241,-4.215225097484184,-3.715759251705609,34
-5.735218564038897,-2.965675883813381,-4.865181349292853,-5.626293739948028,-4.231620980899221,-3.7426980183752256,35
-5.708435075262707,-2.878925891901965,-4.830483654608456,-5.705061217679483,-4.254310307100967,-3.770514263493916,36
-5.671793938665189,-2.8055733679602564,-4.787351779761762,-5.7786511806585015,-4.285875841053199,-3.798391372779036,37
-5.622875746882144,-2.7512202175350517,-4.734301402227619,-5.843108751620981,-4.3289003477196895,-3.8255127319479403,38
-5.559261092549368,-2.7214683461731477,-4.6698481994808745,-5.89447905330282,-4.385966592064212,-3.851061726717984,39
-5.478530568302663,-2.721919659421341,-4.592507848996378,-5.928807208439915,-4.459657339050541,-3.8742217428065238,40
-5.372018529686898,-2.7586815018814117,-4.49329971774782,-5.946114653292651,-4.557819053419194,-3.8961271982252184,41
-5.237419744826907,-2.8293374592465605,-4.368773862598514,-5.950514651094382,-4.682132459322841,-3.9182551844588427,42
-5.081855425228451,-2.926703798700714,-4.225741995857755,-5.944190065040468,-4.825931710843483,-3.940303097434427,43
-4.912446782397283,-3.043596787427797,-4.071015829834835,-5.929323758326265,-4.982550962063126,-3.9619683330790005,44
-4.736315027839155,-3.172832692611735,-3.9114070768390428,-5.908098594147128,-5.145324367063768,-3.9829482873195934,45
-4.560581373059825,-3.3072277814364557,-3.7537274491796717,-5.8826974356984145,-5.307586079927418,-4.0029403560832355,46
-4.392367029565041,-3.439598321085883,-3.6047886591660103,-5.85530314617548,-5.462670254736078,-4.021641935296957,47
-4.238793208860563,-3.5627605787439443,-3.4714024191073527,-5.828098588773684,-5.603911045571751,-4.038750420887786,48
-4.106981122452145,-3.669530821594562,-3.36038044131299,-5.803266626688379,-5.724642606516437,-4.053963208782755,49
-4.0040519818455405,-3.7527253168216657,-3.2785344380922137,-5.782990123114925,-5.8181990916521436,-4.066977694908893,50
-3.9275521129479727,-3.819353257007024,-3.2262591681355484,-5.770246743570667,-5.891866257208941,-4.0773090292456455,51
-3.868733403405636,-3.880758435023845,-3.1967099438762445,-5.764427036695982,-5.956604474637007,-4.085001662301715,52
-3.8252754073327417,-3.9362590184932125,-3.185839308237678,-5.762333190370776,-6.011259820848521,-4.0905469407980055,53
-3.7948576788434956,-3.985173175036211,-3.189599804143225,-5.760767392474953,-6.054678372755654,-4.094436211455426,54
