C1,C2,C3,C4,C5,time
-5.7314822041889215,-4.291502912600038,-5.032005684980975,-4.152922503027962,-3.624283490941482,10
-5.727020280731253,-4.273499725251826,-5.010611452874867,-4.135110133389852,-3.62549395826255,11
-5.72289794775532,-4.2532012719355885,-4.991228507029119,-4.119214845763058,-3.6267364788214795,12
-5.719115205261121,-4.230607552651322,-4.97385684744373,-4.105236640147578,-3.6280110526182683,13
-5.715672053248659,-4.20571856739903,-4.958496474118702,-4.093175516543413,-3.6293176796529183,14
-5.712568491717934,-4.178534316178711,-4.945147387054036,-4.083031474950564,-3.6306563599254287,15
-5.709804520668945,-4.149054798990364,-4.933809586249735,-4.07480451536903,-3.632027093435799,16
-5.7073801401016935,-4.11728001583399,-4.9244830717058,-4.068494637798811,-3.6334298801840306,17
-5.705295350016179,-4.083209966709589,-4.917167843422232,-4.064101842239908,-3.6348647201701216,18
-5.7035501504124,-4.04684465161716,-4.91186390139903,-4.061626128692319,-3.636331613394073,19
-5.702144541290359,-4.0081840705567044,-4.908571245636199,-4.0610674971560465,-3.6378305598558844,20
-5.702414953283608,-3.9665023610367394,-4.909886706163518,-4.062393659004991,-3.6383406475406064,21
-5.705103847855233,-3.921396266117552,-4.917252966330866,-4.065586676113545,-3.6372947031066003,22
-5.709320271249531,-3.873349694126799,-4.928938806118386,-4.070668074232439,-3.6353733345638326,23
-5.7141732697108,-3.822846553392133,-4.943213005506222,-4.077659379112404,-3.6332571499222697,24
-5.718771889483337,-3.7703707522412095,-4.958344344474518,-4.0865821165041725,-3.6316267571918774,25
-5.722225176811441,-3.7164061990016837,-4.972601603003417,-4.097457812158474,-3.6311627643826236,26
-5.723642177939406,-3.6614368020012114,-4.9842535610730625,-4.1103079918260415,-3.632545779504474,27
-5.722131939111534,-3.6059464695674457,-4.991568998663601,-4.125154181257605,-3.636456410567396,28
-5.7168035065721226,-3.5504191100280424,-4.992816695755176,-4.142017906203898,-3.643575265581355,29
-5.706765926565466,-3.4953386317106565,-4.986265432327929,-4.160920692415648,-3.654582952556318,30
-5.69638439020771,-3.433256878600811,-4.975849347883475,-4.1779704543215885,-3.67027466735235,31
-5.6890079557174404,-3.359534155387709,-4.965549414758112,-4.190982599159141,-3.6903863697332255,32
-5.682221469992617,-3.278867061454528,-4.9537046621840215,-4.202539891892081,-3.714009813564475,33
-5.673609779931202,-3.1959521961844453,-4.938654119393383,-4.215225097484184,-3.7402367527116307,34
-5.660757732431158,-3.1154861589606346,-4.918736815618374,-4.231620980899221,-3.768158941040222,35
-5.641250174390443,-3.042165549166274,-4.892291780091174,-4.254310307100967,-3.796868132415779,36
-5.612671952707023,-2.9806869661845394,-4.857658042043962,-4.2858758410532,-3.825456080703835,37
