iso1	iso2	dist	id
C2	C1	0.3432654344123769	C2_C1
C3	C1	0.44510798633806853	C3_C1
C4	C1	0.44510798633806853	C4_C1
C5	C1	0.3432654344123769	C5_C1
Anaeroplasmataceae	C1	0.44510798633806853	Anaeroplasmataceae_C1
Bacteroidaceae	C1	0.3432654344123769	Bacteroidaceae_C1
Clostridiales_vadinBB60_group	C1	0.44510798633806853	Clostridiales_vadinBB60_group_C1
Deferribacteraceae	C1	0.27975227658266744	Deferribacteraceae_C1
Desulfovibrionaceae	C1	0.10952832387279565	Desulfovibrionaceae_C1
Enterobacteriaceae	C1	0.44510798633806853	Enterobacteriaceae_C1
Lachnospiraceae	C1	0.27975227658266744	Lachnospiraceae_C1
Lactobacillaceae	C1	0.27975227658266744	Lactobacillaceae_C1
Marinifilaceae	C1	0.44510798633806853	Marinifilaceae_C1
Muribaculaceae	C1	0.44510798633806853	Muribaculaceae_C1
Peptococcaceae	C1	0.21308016021327486	Peptococcaceae_C1
Prevotellaceae	C1	0.44510798633806853	Prevotellaceae_C1
Rikenellaceae	C1	0.3432654344123769	Rikenellaceae_C1
Ruminococcaceae	C1	0.27975227658266744	Ruminococcaceae_C1
Saccharimonadaceae	C1	0.44510798633806853	Saccharimonadaceae_C1
Tannerellaceae	C1	0.3432654344123769	Tannerellaceae_C1
C3	C2	0.44510798633806853	C3_C2
C4	C2	0.44510798633806853	C4_C2
C5	C2	0.2584215851213928	C5_C2
Anaeroplasmataceae	C2	0.44510798633806853	Anaeroplasmataceae_C2
Bacteroidaceae	C2	0.299023081459479	Bacteroidaceae_C2
Clostridiales_vadinBB60_group	C2	0.44510798633806853	Clostridiales_vadinBB60_group_C2
Deferribacteraceae	C2	0.3432654344123769	Deferribacteraceae_C2
Desulfovibrionaceae	C2	0.3432654344123769	Desulfovibrionaceae_C2
Enterobacteriaceae	C2	0.44510798633806853	Enterobacteriaceae_C2
Lachnospiraceae	C2	0.3432654344123769	Lachnospiraceae_C2
Lactobacillaceae	C2	0.3432654344123769	Lactobacillaceae_C2
Marinifilaceae	C2	0.44510798633806853	Marinifilaceae_C2
Muribaculaceae	C2	0.44510798633806853	Muribaculaceae_C2
Peptococcaceae	C2	0.3432654344123769	Peptococcaceae_C2
Prevotellaceae	C2	0.44510798633806853	Prevotellaceae_C2
Rikenellaceae	C2	0.15648399947735425	Rikenellaceae_C2
Ruminococcaceae	C2	0.3432654344123769	Ruminococcaceae_C2
Saccharimonadaceae	C2	0.44510798633806853	Saccharimonadaceae_C2
Tannerellaceae	C2	0.2584215851213928	Tannerellaceae_C2
C4	C3	0.09225999738331236	C4_C3
C5	C3	0.44510798633806853	C5_C3
Anaeroplasmataceae	C3	0.34737571073379975	Anaeroplasmataceae_C3
Bacteroidaceae	C3	0.44510798633806853	Bacteroidaceae_C3
Clostridiales_vadinBB60_group	C3	0.1614765423535962	Clostridiales_vadinBB60_group_C3
Deferribacteraceae	C3	0.44510798633806853	Deferribacteraceae_C3
Desulfovibrionaceae	C3	0.44510798633806853	Desulfovibrionaceae_C3
Enterobacteriaceae	C3	0.1804392466089055	Enterobacteriaceae_C3
Lachnospiraceae	C3	0.44510798633806853	Lachnospiraceae_C3
Lactobacillaceae	C3	0.44510798633806853	Lactobacillaceae_C3
Marinifilaceae	C3	0.1804392466089055	Marinifilaceae_C3
Muribaculaceae	C3	0.34737571073379975	Muribaculaceae_C3
Peptococcaceae	C3	0.44510798633806853	Peptococcaceae_C3
Prevotellaceae	C3	0.34737571073379975	Prevotellaceae_C3
Rikenellaceae	C3	0.44510798633806853	Rikenellaceae_C3
Ruminococcaceae	C3	0.44510798633806853	Ruminococcaceae_C3
Saccharimonadaceae	C3	0.34737571073379975	Saccharimonadaceae_C3
Tannerellaceae	C3	0.44510798633806853	Tannerellaceae_C3
C5	C4	0.44510798633806853	C5_C4
Anaeroplasmataceae	C4	0.34737571073379975	Anaeroplasmataceae_C4
Bacteroidaceae	C4	0.44510798633806853	Bacteroidaceae_C4
Clostridiales_vadinBB60_group	C4	0.1614765423535962	Clostridiales_vadinBB60_group_C4
Deferribacteraceae	C4	0.44510798633806853	Deferribacteraceae_C4
Desulfovibrionaceae	C4	0.44510798633806853	Desulfovibrionaceae_C4
Enterobacteriaceae	C4	0.1804392466089055	Enterobacteriaceae_C4
Lachnospiraceae	C4	0.44510798633806853	Lachnospiraceae_C4
Lactobacillaceae	C4	0.44510798633806853	Lactobacillaceae_C4
Marinifilaceae	C4	0.1804392466089055	Marinifilaceae_C4
Muribaculaceae	C4	0.34737571073379975	Muribaculaceae_C4
Peptococcaceae	C4	0.44510798633806853	Peptococcaceae_C4
Prevotellaceae	C4	0.34737571073379975	Prevotellaceae_C4
Rikenellaceae	C4	0.44510798633806853	Rikenellaceae_C4
Ruminococcaceae	C4	0.44510798633806853	Ruminococcaceae_C4
Saccharimonadaceae	C4	0.34737571073379975	Saccharimonadaceae_C4
Tannerellaceae	C4	0.44510798633806853	Tannerellaceae_C4
Anaeroplasmataceae	C5	0.44510798633806853	Anaeroplasmataceae_C5
Bacteroidaceae	C5	0.299023081459479	Bacteroidaceae_C5
Clostridiales_vadinBB60_group	C5	0.44510798633806853	Clostridiales_vadinBB60_group_C5
Deferribacteraceae	C5	0.3432654344123769	Deferribacteraceae_C5
Desulfovibrionaceae	C5	0.3432654344123769	Desulfovibrionaceae_C5
Enterobacteriaceae	C5	0.44510798633806853	Enterobacteriaceae_C5
Lachnospiraceae	C5	0.3432654344123769	Lachnospiraceae_C5
Lactobacillaceae	C5	0.3432654344123769	Lactobacillaceae_C5
Marinifilaceae	C5	0.44510798633806853	Marinifilaceae_C5
Muribaculaceae	C5	0.44510798633806853	Muribaculaceae_C5
Peptococcaceae	C5	0.3432654344123769	Peptococcaceae_C5
Prevotellaceae	C5	0.44510798633806853	Prevotellaceae_C5
Rikenellaceae	C5	0.2584215851213928	Rikenellaceae_C5
Ruminococcaceae	C5	0.3432654344123769	Ruminococcaceae_C5
Saccharimonadaceae	C5	0.44510798633806853	Saccharimonadaceae_C5
Tannerellaceae	C5	0.17277849675460544	Tannerellaceae_C5
Bacteroidaceae	Anaeroplasmataceae	0.44510798633806853	Bacteroidaceae_Anaeroplasmataceae
Clostridiales_vadinBB60_group	Anaeroplasmataceae	0.34737571073379975	Clostridiales_vadinBB60_group_Anaeroplasmataceae
Deferribacteraceae	Anaeroplasmataceae	0.44510798633806853	Deferribacteraceae_Anaeroplasmataceae
Desulfovibrionaceae	Anaeroplasmataceae	0.44510798633806853	Desulfovibrionaceae_Anaeroplasmataceae
Enterobacteriaceae	Anaeroplasmataceae	0.34737571073379975	Enterobacteriaceae_Anaeroplasmataceae
Lachnospiraceae	Anaeroplasmataceae	0.44510798633806853	Lachnospiraceae_Anaeroplasmataceae
Lactobacillaceae	Anaeroplasmataceae	0.44510798633806853	Lactobacillaceae_Anaeroplasmataceae
Marinifilaceae	Anaeroplasmataceae	0.34737571073379975	Marinifilaceae_Anaeroplasmataceae
Muribaculaceae	Anaeroplasmataceae	0.2059071848230561	Muribaculaceae_Anaeroplasmataceae
Peptococcaceae	Anaeroplasmataceae	0.44510798633806853	Peptococcaceae_Anaeroplasmataceae
Prevotellaceae	Anaeroplasmataceae	0.12521188881194112	Prevotellaceae_Anaeroplasmataceae
Rikenellaceae	Anaeroplasmataceae	0.44510798633806853	Rikenellaceae_Anaeroplasmataceae
Ruminococcaceae	Anaeroplasmataceae	0.44510798633806853	Ruminococcaceae_Anaeroplasmataceae
Saccharimonadaceae	Anaeroplasmataceae	0.2473603052360623	Saccharimonadaceae_Anaeroplasmataceae
Tannerellaceae	Anaeroplasmataceae	0.44510798633806853	Tannerellaceae_Anaeroplasmataceae
Clostridiales_vadinBB60_group	Bacteroidaceae	0.44510798633806853	Clostridiales_vadinBB60_group_Bacteroidaceae
Deferribacteraceae	Bacteroidaceae	0.3432654344123769	Deferribacteraceae_Bacteroidaceae
Desulfovibrionaceae	Bacteroidaceae	0.3432654344123769	Desulfovibrionaceae_Bacteroidaceae
Enterobacteriaceae	Bacteroidaceae	0.44510798633806853	Enterobacteriaceae_Bacteroidaceae
Lachnospiraceae	Bacteroidaceae	0.3432654344123769	Lachnospiraceae_Bacteroidaceae
Lactobacillaceae	Bacteroidaceae	0.3432654344123769	Lactobacillaceae_Bacteroidaceae
Marinifilaceae	Bacteroidaceae	0.44510798633806853	Marinifilaceae_Bacteroidaceae
Muribaculaceae	Bacteroidaceae	0.44510798633806853	Muribaculaceae_Bacteroidaceae
Peptococcaceae	Bacteroidaceae	0.3432654344123769	Peptococcaceae_Bacteroidaceae
Prevotellaceae	Bacteroidaceae	0.44510798633806853	Prevotellaceae_Bacteroidaceae
Rikenellaceae	Bacteroidaceae	0.299023081459479	Rikenellaceae_Bacteroidaceae
Ruminococcaceae	Bacteroidaceae	0.3432654344123769	Ruminococcaceae_Bacteroidaceae
Saccharimonadaceae	Bacteroidaceae	0.44510798633806853	Saccharimonadaceae_Bacteroidaceae
Tannerellaceae	Bacteroidaceae	0.299023081459479	Tannerellaceae_Bacteroidaceae
Deferribacteraceae	Clostridiales_vadinBB60_group	0.44510798633806853	Deferribacteraceae_Clostridiales_vadinBB60_group
Desulfovibrionaceae	Clostridiales_vadinBB60_group	0.44510798633806853	Desulfovibrionaceae_Clostridiales_vadinBB60_group
Enterobacteriaceae	Clostridiales_vadinBB60_group	0.1804392466089055	Enterobacteriaceae_Clostridiales_vadinBB60_group
Lachnospiraceae	Clostridiales_vadinBB60_group	0.44510798633806853	Lachnospiraceae_Clostridiales_vadinBB60_group
Lactobacillaceae	Clostridiales_vadinBB60_group	0.44510798633806853	Lactobacillaceae_Clostridiales_vadinBB60_group
